Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	T.brucei RNA Seq data from George Cross - procyclic form - nonunique (Tb PCF BSF RSeq)	T.brucei RNA Seq data from George Cross - blood form - nonunique (Tb PCF BSF RSeq)	sense - PCF mRNA	sense - slBF mRNA	sense - cBF mRNA	sense - PF mRNA	sense - BF mRNA	
Tb05.5K5.160	Tb05.5K5.160:mRNA	T. brucei brucei TREU927	5K5_v5.1:29,371..32,881(-)	hypothetical protein, conserved	12.3	11.25	13.63	10.02	13.69	4.07	13.18	
Tb05.5K5.170	Tb05.5K5.170:mRNA	T. brucei brucei TREU927	5K5_v5.1:32,991..33,885(-)	elongation of very long chain fatty acids protein, putative	30.91	21.29	29.27	19.64	42.09	16.05	38.07	
Tb05.5K5.180	Tb05.5K5.180:mRNA	T. brucei brucei TREU927	5K5_v5.1:42,035..47,179(+)	receptor-type adenylate cyclase GRESAG 4, putative	17.33	11.73	7.2	7.54	11.82	5.88	13.71	
Tb05.5K5.190	Tb05.5K5.190:mRNA	T. brucei brucei TREU927	5K5_v5.1:47,844..53,721(+)	receptor-type adenylate cyclase GRESAG 4, putative	16.62	11.85	7.24	7.79	11.74	5.34	12.95	
Tb05.5K5.20	Tb05.5K5.20:mRNA	T. brucei brucei TREU927	5K5_v5.1:150..2,405(-)	hypothetical protein, conserved	9.88	9.57	15.98	13.32	17.69	9.15	21.17	
Tb05.5K5.200	Tb05.5K5.200:mRNA	T. brucei brucei TREU927	5K5_v5.1:55,818..58,421(+)	guanine deaminase, putative	9.02	15.56	4.06	9.34	20.24	12.04	27.37	
Tb05.5K5.210	Tb05.5K5.210:mRNA	T. brucei brucei TREU927	5K5_v5.1:58,529..63,156(+)	hypothetical protein	12.81	30.6	4.95	16.84	46.75	5.71	57.81	
Tb05.5K5.220	Tb05.5K5.220:mRNA	T. brucei brucei TREU927	5K5_v5.1:62,433..68,905(+)	hypothetical protein	15.4	28.78	7.43	15.09	48.98	12.93	59.5	
Tb05.5K5.230	Tb05.5K5.230:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:69,112..70,007(+)	RAB GTP-binding protein, degenerate	1.55	4.36	2.8	14.38	7.93	0.88	9.3	
Tb05.5K5.240	Tb05.5K5.240:mRNA	T. brucei brucei TREU927	5K5_v5.1:70,446..71,678(+)	expression site-associated gene 3 (ESAG3) protein, putative	2.91	28.86	4.12	18.94	32.49	2.02	23.73	
Tb05.5K5.250	Tb05.5K5.250:mRNA	T. brucei brucei TREU927	5K5_v5.1:73,326..73,871(+)	hypothetical protein	0	3.36	0.68	4.42	3.67	0.23	3.05	
Tb05.5K5.260	Tb05.5K5.260:mRNA	T. brucei brucei TREU927	5K5_v5.1:76,296..77,355(+)	variant surface glycoprotein (VSG), putative	0	0	0.24	5.27	0.64	0	0.52	
Tb05.5K5.270	Tb05.5K5.270:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:78,356..79,256(+)	expression site-associated gene 9 (ESAG9), frameshift	0	3.18	0.33	3.94	3.6	0.14	0.41	
Tb05.5K5.280	Tb05.5K5.280:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:82,303..83,290(+)	expression site-associated gene 1 (ESAG1), point mutation	0.6	8.95	1.22	24.97	26.25	1.34	16.12	
Tb05.5K5.290	Tb05.5K5.290:mRNA	T. brucei brucei TREU927	5K5_v5.1:85,390..86,076(-)	hypothetical protein	1.16	3.17	0.12	0.27	0.32	0	0.81	
Tb05.5K5.30	Tb05.5K5.30:mRNA	T. brucei brucei TREU927	5K5_v5.1:3,300..7,701(-)	serine/threonine protein phosphatase, putative	7.37	8.66	5.07	7.58	4.82	7.98	29.86	
Tb05.5K5.300	Tb05.5K5.300:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:88,020..89,645(-)	variant surface glycoprotein, degenerate	0.12	0.14	0	0.03	0.02	0	0	
Tb05.5K5.310	Tb05.5K5.310:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:89,861..90,997(-)	expression site-associated gene 3 (ESAG3), degenerate	0	0.5	0.02	0.47	1.26	0	0.81	
Tb05.5K5.320	Tb05.5K5.320:mRNA	T. brucei brucei TREU927	5K5_v5.1:92,058..93,524(-)	variant surface glycoprotein (VSG), putative	0	0.08	0	0.1	0	0	0	
Tb05.5K5.330	Tb05.5K5.330:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:95,867..97,674(-)	variant surface glycoprotein, point mutation	0	0	0	0	0	0	0	
Tb05.5K5.340	Tb05.5K5.340:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:99,284..100,894(-)	variant surface glycoprotein, degenerate	0	0	0	0	0	0	0	
Tb05.5K5.350	Tb05.5K5.350:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:101,144..102,241(-)	expression site-associated gene 3 (ESAG3), degenerate	0	0	0.01	0.55	0.47	0	0	
Tb05.5K5.360	Tb05.5K5.360:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:102,882..104,444(-)	variant surface glycoprotein, point mutation	0	0	0	0	0	0	0	
Tb05.5K5.370	Tb05.5K5.370:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:105,949..107,920(-)	variant surface glycoprotein, degenerate	0	0	0	0.15	0.01	0	0	
Tb05.5K5.380	Tb05.5K5.380:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:108,989..110,575(-)	variant surface glycoprotein (VSG, pseudogene), putative	0	0	0	0	0	0	0	
Tb05.5K5.390	Tb05.5K5.390:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:112,251..115,684(-)	variant surface glycoprotein, degenerate	2.14	1.37	0.76	2.07	1.3	0.46	1.89	
Tb05.5K5.40	Tb05.5K5.40:mRNA	T. brucei brucei TREU927	5K5_v5.1:8,406..9,012(-)	hypothetical protein, conserved	32.46	57.86	36.87	54.48	79.29	16.9	48.19	
Tb05.5K5.400	Tb05.5K5.400:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:117,344..120,266(-)	variant surface glycoprotein, interrupted	0	0	0.01	0	0.06	0	0	
Tb05.5K5.410	Tb05.5K5.410:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:120,462..122,033(-)	variant surface glycoprotein, degenerate	0	0	0	0	0.01	0	0	
Tb05.5K5.420	Tb05.5K5.420:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:122,167..123,255(-)	variant surface glycoprotein (VSG, pseudogene), putative	0	8.12	0.15	0.47	11.5	0	29.92	
Tb05.5K5.430	Tb05.5K5.430:mRNA	T. brucei brucei TREU927	5K5_v5.1:124,429..125,868(-)	variant surface glycoprotein (VSG), putative	0	0	0	0	0.02	0	0	
Tb05.5K5.440	Tb05.5K5.440:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:127,693..129,411(-)	variant surface glycoprotein, point mutation	0	0	0	4.61	0.01	0	0	
Tb05.5K5.450	Tb05.5K5.450:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:131,259..132,734(-)	variant surface glycoprotein, frameshift	0	0	0	0	0.02	0	0	
Tb05.5K5.460	Tb05.5K5.460:mRNA	T. brucei brucei TREU927	5K5_v5.1:134,559..136,277(-)	variant surface glycoprotein (VSG), pseudogene	0	0	0	4.61	0.01	0	0	
Tb05.5K5.470	Tb05.5K5.470:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:137,939..139,749(-)	variant surface glycoprotein, frameshift	0	0.06	0	0	0	0	0	
Tb05.5K5.480	Tb05.5K5.480:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:141,766..143,448(-)	variant surface glycoprotein, degenerate	0	0	0	3.89	0.01	0	0	
Tb05.5K5.490	Tb05.5K5.490:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:144,327..145,871(-)	variant surface glycoprotein (VSG, pseudogene), putative	0	0	0	0	0	0	0	
Tb05.5K5.50	Tb05.5K5.50:mRNA	T. brucei brucei TREU927	5K5_v5.1:9,142..10,828(-)	hypothetical protein, conserved	10.03	12.18	24.4	15.43	24.63	8.98	16.46	
Tb05.5K5.500	Tb05.5K5.500:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:146,132..147,163(-)	expression site-associated gene 3 (ESAG3), degenerate	0	10.45	0.16	3.75	12.9	0	29.24	
Tb05.5K5.510	Tb05.5K5.510:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:147,286..148,407(-)	phosphoglycan beta 1,3 galactosyltransferase, degenerate	0	0	0	0	0.02	0	0	
Tb05.5K5.520	Tb05.5K5.520:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:149,334..150,908(-)	variant surface glycoprotein, degenerate	0	0	0	0.01	0.05	0	0	
Tb05.5K5.530	Tb05.5K5.530:mRNA	T. brucei brucei TREU927	5K5_v5.1:152,786..154,174(-)	variant surface glycoprotein (VSG), putative	0	0	0.05	5.18	2.23	0	0	
Tb05.5K5.540	Tb05.5K5.540:pseudogenic_transcript	T. brucei brucei TREU927	5K5_v5.1:155,811..157,295(-)	variant surface glycoprotein, degenerate	0	0	0	0	0	0	0	
Tb05.5K5.60	Tb05.5K5.60:mRNA	T. brucei brucei TREU927	5K5_v5.1:10,998..11,739(-)	hypothetical protein, conserved	8.58	12.84	17.92	15.32	15.86	16.29	23.96	
Tb05.5K5.70	Tb05.5K5.70:mRNA	T. brucei brucei TREU927	5K5_v5.1:11,904..14,331(-)	nucleolar RNA helicase II, putative	115.81	42.07	44.74	16.61	40.31	29.35	41.48	
Tb05.5K5.80	Tb05.5K5.80:mRNA	T. brucei brucei TREU927	5K5_v5.1:15,063..16,182(-)	calcium/calmodulin-dependent protein kinase, putative	14.75	14.96	9.3	11.8	13.27	4.6	15.54	
Tb05.5K5.90	Tb05.5K5.90:mRNA	T. brucei brucei TREU927	5K5_v5.1:16,499..16,915(-)	dynein light chain, putative	13.36	23.4	34.11	28.13	32.05	16.43	59.94	
Tb06.3A7.270	Tb06.3A7.270:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:389,986..393,393(-)	hypothetical protein, conserved	8.12	5.29	4.29	5.9	6.89	7.58	9.67	
Tb06.3A7.960	Tb06.3A7.960:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:484,268..485,499(+)	hypothetical protein	10.34	21.71	16.08	29.49	58.52	5.33	26.75	
Tb07.11L3.100	Tb07.11L3.100:mRNA	T. brucei brucei TREU927	11L3_v3:30,224..48,500(-)	SUMO-interacting motif-containing protein	23.66	21.58	12.65	17.49	18.56	18.17	27.01	
Tb07.11L3.90	Tb07.11L3.90:mRNA	T. brucei brucei TREU927	11L3_v3:23,858..29,262(-)	zinc finger protein family member, putative	8.84	11	5.53	10.19	7	12.73	18.84	
Tb07.30D13.110	Tb07.30D13.110:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_07_v5.1:2,186,105..2,186,863(+)	hypothetical protein, conserved (pseudogene)	27.01	71.83	9.2	18.18	88.86	42.02	147.83	
Tb07.30D13.130	Tb07.30D13.130:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_07_v5.1:2,184,767..2,185,687(+)	hypothetical protein, conserved (pseudogene)	35.87	57.95	7.8	16.63	84	17.63	69.16	
Tb07.30D13.160	Tb07.30D13.160:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_07_v5.1:2,178,294..2,179,475(+)	hypothetical protein, conserved (pseudogene)	26.43	72.64	8.84	17.72	86.35	40.82	145.68	
Tb07.30D13.180	Tb07.30D13.180:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_07_v5.1:2,177,383..2,178,291(+)	hypothetical protein, conserved (pseudogene)	35.47	65.16	8.2	17.05	89.39	20.28	73.33	
Tb07.30D13.60	Tb07.30D13.60:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_07_v5.1:2,193,496..2,195,226(+)	hypothetical protein, conserved (pseudogene)	13.91	37.86	5.17	11.49	46.68	22.17	90.06	
Tb07.30D13.80	Tb07.30D13.80:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_07_v5.1:2,192,158..2,193,070(+)	hypothetical protein, conserved (pseudogene)	36.84	61.98	7.89	16.77	87.58	18.65	71.38	
Tb08.27P2.110	Tb08.27P2.110:mRNA	T. brucei brucei TREU927	Tbrucei.chr8.100:10,721..12,836(+)	PAP2 superfamily, putative	3.86	0.81	0.49	0.08	7.83	16.15	0.96	
Tb08.27P2.120	Tb08.27P2.120:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:14,333..15,623(-)	variant surface glycoprotein, degenerate	0	0	0	0.07	0.02	0	0	
Tb08.27P2.140	Tb08.27P2.140:mRNA	T. brucei brucei TREU927	Tbrucei.chr8.100:17,837..19,432(-)	variant surface glycoprotein (VSG, atypical), putative	0	0	0	0.23	0.01	0	0	
Tb08.27P2.150	Tb08.27P2.150:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:20,999..22,525(-)	variant surface glycoprotein, degenerate	0	0	0	0	0	0	0	
Tb08.27P2.160	Tb08.27P2.160:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:22,974..24,074(-)	expression site-associated gene 3 (ESAG3), degenerate	0	6.69	0.2	5.38	17.45	0	39.8	
Tb08.27P2.165	Tb08.27P2.165:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:24,756..26,296(-)	variant surface glycoprotein (VSG, pseudogene), putative	0	0	0	0	0	0	0	
Tb08.27P2.190	Tb08.27P2.190:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:27,956..29,354(-)	variant surface glycoprotein, degenerate	0	0	0	0.01	0	0	0	
Tb08.27P2.210	Tb08.27P2.210:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:30,786..32,207(-)	variant surface glycoprotein, degenerate	0	0	0	2.02	0.31	0	0	
Tb08.27P2.220	Tb08.27P2.220:mRNA	T. brucei brucei TREU927	Tbrucei.chr8.100:34,020..35,591(-)	variant surface glycoprotein (VSG, atypical), putative	0	0	0	0.54	0.04	0	0	
Tb08.27P2.230	Tb08.27P2.230:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:36,898..38,440(-)	variant surface glycoprotein, degenerate	0	0	0	0.01	0	0	0	
Tb08.27P2.240	Tb08.27P2.240:mRNA	T. brucei brucei TREU927	Tbrucei.chr8.100:40,830..42,425(-)	variant surface glycoprotein (VSG), putative	0	0	0	0.09	0.02	0	0	
Tb08.27P2.250	Tb08.27P2.250:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:42,775..43,876(-)	expression site-associated gene 3 (ESAG3), frameshift	0	7.4	0.05	0.45	5.17	0	23.21	
Tb08.27P2.260	Tb08.27P2.260:mRNA	T. brucei brucei TREU927	Tbrucei.chr8.100:45,310..46,839(-)	variant surface glycoprotein (VSG, atypical), putative	0	0.08	0.01	31.26	0.32	0	0.48	
Tb08.27P2.270	Tb08.27P2.270:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:48,217..49,616(-)	variant surface glycoprotein, frameshift	0	0	0	0.07	0.02	0	0	
Tb08.27P2.290	Tb08.27P2.290:mRNA	T. brucei brucei TREU927	Tbrucei.chr8.100:51,710..53,263(-)	variant surface glycoprotein (VSG, atypical), putative	0	0	0	0	0	0	0	
Tb08.27P2.310	Tb08.27P2.310:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:55,260..56,811(-)	variant surface glycoprotein, degenerate	0	0	0	0	0	0	0	
Tb08.27P2.330	Tb08.27P2.330:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:57,117..58,120(-)	expression site-associated gene 3 (ESAG3), degenerate	0	0.46	0.02	1.08	2.06	0.08	2.58	
Tb08.27P2.340	Tb08.27P2.340:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:59,106..60,655(-)	variant surface glycoprotein, degenerate	0	0	0.06	0.01	0.02	0	0	
Tb08.27P2.370	Tb08.27P2.370:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:62,418..63,866(-)	variant surface glycoprotein, degenerate	0	0	0	0.01	0.02	0	0	
Tb08.27P2.380	Tb08.27P2.380:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:65,291..66,966(-)	variant surface glycoprotein, degenerate	0	0	0	0.75	0	0	0	
Tb08.27P2.390	Tb08.27P2.390:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:69,131..70,622(-)	variant surface glycoprotein, frameshift	0	0	0	0.06	0	0	0	
Tb08.27P2.400	Tb08.27P2.400:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:70,778..71,852(-)	expression site-associated gene 3 (ESAG3), degenerate	0	12.29	0.17	1.69	11.87	0.08	19.83	
Tb08.27P2.410	Tb08.27P2.410:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:73,343..77,755(-)	variant surface glycoprotein, degenerate, interrupted	0.23	0.18	0.03	0.07	0.1	0.08	0	
Tb08.27P2.435	Tb08.27P2.435:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:82,105..83,399(-)	variant surface glycoprotein, fragment	0	0	0.01	0	0	0	0	
Tb08.27P2.460	Tb08.27P2.460:mRNA	T. brucei brucei TREU927	Tbrucei.chr8.100:84,812..86,386(-)	variant surface glycoprotein (VSG), putative	0	0	1.85	12.11	90.47	0	2.59	
Tb08.27P2.480	Tb08.27P2.480:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:89,123..90,757(-)	variant surface glycoprotein, degenerate	0	0	0	0	0	0	0	
Tb08.27P2.490	Tb08.27P2.490:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:92,556..94,145(-)	variant surface glycoprotein, degenerate	0	0	0	0.17	0	0	0	
Tb08.27P2.50	Tb08.27P2.50:mRNA	T. brucei brucei TREU927	Tbrucei.chr8.100:4,550..5,005(-)	hypothetical protein	0	0.25	0	0.02	0.18	0	0	
Tb08.27P2.510	Tb08.27P2.510:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:95,919..97,385(-)	variant surface glycoprotein, degenerate	0	0	0	0.58	0	0	0	
Tb08.27P2.520	Tb08.27P2.520:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:97,575..98,602(-)	expression site-associated gene 3 (ESAG3), degenerate	0	1.45	0.02	0.79	3.62	0.08	7.58	
Tb08.27P2.530	Tb08.27P2.530:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:99,384..100,915(-)	variant surface glycoprotein, point mutation	0	0	0	0.03	0	0	0	
Tb08.27P2.550	Tb08.27P2.550:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:102,453..104,032(-)	variant surface glycoprotein, degenerate	0	0	0	0.01	0.01	0	0	
Tb08.27P2.555	Tb08.27P2.555:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:121,405..122,568(-)	phosphoglycan beta 1,3 galactosyltransferase, degenerate	0	0	0	0.01	0	0	0	
Tb08.27P2.565	Tb08.27P2.565:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:106,202..106,612(-)	variant surface glycoprotein, fragment	0	0	0.03	0.16	0.07	0	0	
Tb08.27P2.580	Tb08.27P2.580:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:107,148..108,877(-)	variant surface glycoprotein, frameshift	0	0	0	1.02	0.11	0	0	
Tb08.27P2.60	Tb08.27P2.60:mRNA	T. brucei brucei TREU927	Tbrucei.chr8.100:5,080..5,810(+)	hypothetical protein	7.62	2.36	5.57	1.21	16.96	9.2	7.35	
Tb08.27P2.610	Tb08.27P2.610:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:110,064..112,611(-)	variant surface glycoprotein, degenerate	0	0.09	0	0	0	0	0.07	
Tb08.27P2.620	Tb08.27P2.620:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:111,879..115,170(-)	variant surface glycoprotein, degenerate	0	0.07	0	0	0.01	0	0	
Tb08.27P2.630	Tb08.27P2.630:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:116,413..117,932(-)	variant surface glycoprotein, degenerate	0	0	0	0.03	0	0	0	
Tb08.27P2.640	Tb08.27P2.640:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:118,791..121,323(-)	variant surface glycoprotein, degenerate	0	0	0	0	0	0	0	
Tb08.27P2.650	Tb08.27P2.650:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:123,742..125,274(-)	variant surface glycoprotein (VSG, pseudogene), putative	0	0	0	0.14	0	0	0	
Tb08.27P2.660	Tb08.27P2.660:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:127,149..128,737(-)	variant surface glycoprotein, degenerate	0	0	0.01	0.01	0.01	0	0	
Tb08.27P2.670	Tb08.27P2.670:mRNA	T. brucei brucei TREU927	Tbrucei.chr8.100:129,378..132,060(-)	variant surface glycoprotein (VSG, atypical), putative	0	0.04	0	0.04	0.02	0	0	
Tb08.27P2.680	Tb08.27P2.680:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:133,919..135,451(-)	variant surface glycoprotein, degenerate	0	0	0	0.12	0.01	0	0	
Tb08.27P2.690	Tb08.27P2.690:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:137,305..138,167(-)	variant surface glycoprotein, degenerate	0	0	0	0	0.01	0	0	
Tb08.27P2.70	Tb08.27P2.70:mRNA	T. brucei brucei TREU927	Tbrucei.chr8.100:5,898..6,725(+)	hypothetical protein	6.49	0.28	2.91	0.4	8.73	6.22	3.13	
Tb08.27P2.710	Tb08.27P2.710:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:140,061..141,519(-)	variant surface glycoprotein, degenerate	0	0	0	3.96	0	0	0	
Tb08.27P2.720	Tb08.27P2.720:pseudogenic_transcript	T. brucei brucei TREU927	Tbrucei.chr8.100:144,082..145,546(-)	variant surface glycoprotein (VSG, pseudogene), putative	0	0	0	0.01	0.31	0.03	0	
Tb08.27P2.80	Tb08.27P2.80:mRNA	T. brucei brucei TREU927	Tbrucei.chr8.100:7,005..8,815(+)	hypothetical protein	2.2	0.89	2.24	0.53	6.01	4.36	2.96	
Tb08.27P2.90	Tb08.27P2.90:mRNA	T. brucei brucei TREU927	Tbrucei.chr8.100:8,903..9,760(+)	hypothetical protein	14.61	6.82	1.35	0.15	23.92	8.57	10.14	
Tb09.v4.0009	Tb09.v4.0009:mRNA	T. brucei brucei TREU927	TP26M21-2a10.p1k:683..4,513(+)	receptor-type adenylate cyclase, putative	8.47	5.03	1.08	3.69	2.08	0.72	1.93	
Tb09.v4.0010	Tb09.v4.0010:mRNA	T. brucei brucei TREU927	TP26M21-2a10.p1k:7,309..10,114(+)	variant surface glycoprotein (VSG), pseudogene	0.35	5.15	1.09	14.45	12.53	1.61	16.5	
Tb09.v4.0011	Tb09.v4.0011:mRNA	T. brucei brucei TREU927	TP26M21-2a10.p1k:12,906..14,353(+)	variant surface glycoprotein (VSG), putative	0	0	0.01	4.82	0.17	0	0	
Tb09.v4.0012	Tb09.v4.0012:mRNA	T. brucei brucei TREU927	TP26M21-2a10.p1k:21,366..22,809(+)	variant surface glycoprotein (VSG), putative	0	0.08	0.01	3.9	0.18	0	0	
Tb09.v4.0013	Tb09.v4.0013:mRNA	T. brucei brucei TREU927	TP26M21-2a10.p1k:26,702..31,837(-)	retrotransposon hot spot (RHS) protein, putative	6.16	9.27	2.29	6.27	11.46	2.52	12.08	
Tb09.v4.0014	Tb09.v4.0014:mRNA	T. brucei brucei TREU927	TP26M21-2a10.p1k:32,501..36,642(-)	hypothetical protein	1.2	6.37	5.56	6.92	8.38	1.73	14.13	
Tb09.v4.0015	Tb09.v4.0015:mRNA	T. brucei brucei TREU927	TP26M21-2a10.p1k:37,901..38,897(-)	hypothetical protein	28.74	27.17	5.05	8.58	20.57	2.75	20.43	
Tb09.v4.0016	Tb09.v4.0016:mRNA	T. brucei brucei TREU927	TP26P4-1a02.q1ka:142..1,819(-)	expression site- associated gene (ESAG) protein, putative	5.81	29	8.79	27.83	36.09	3.19	20.41	
Tb09.v4.0017	Tb09.v4.0017:mRNA	T. brucei brucei TREU927	TP26P4-1a02.q1ka:7,197..10,138(+)	rab1 (small gtp-binding protein rab1, putative)	4.94	13.85	2.82	9.4	22.37	6.85	25.93	
Tb09.v4.0018	Tb09.v4.0018:mRNA	T. brucei brucei TREU927	TP26P4-1a02.q1ka:10,465..11,737(+)	expression site-associated gene 3 (ESAG3) protein, putative	1.41	17.76	1.4	10.52	17.31	1.96	16.14	
Tb09.v4.0020	Tb09.v4.0020:mRNA	T. brucei brucei TREU927	TP26P4-1a02.q1ka:12,555..15,774(+)	hypothetical protein	0.06	0.04	0.03	0.28	0.39	0.14	0.35	
Tb09.v4.0021	Tb09.v4.0021:pseudogenic_transcript	T. brucei brucei TREU927	TP26P4-3b07.q1k:2,506..4,111(-)	variant surface glycoprotein (VSG, pseudogene), putative	0	0	0.01	0.02	0.02	0	0	
