2013Latest_numbers,Annotation,Class,Orthologue count,ORF length,BS RNAs/ cell Silicotryp ,Log 2 BS RNAs/ cell Silicotryp ,RPM pA+ fragments BS,BS RNAs/cell pA+ fragments ,Log 2 BS RNAs/cell pA+ fragments ,RPM Ribosome profiling,RPM Ribsome profiling x orthogue count,Ribosomes/cell/gene,Ribosomes/mRNA,Ribosomes/kb BS,Fraction in polysomes,mRNA abundance BS/PC (Silicotryp),"ribosomes/kb, BS/PC"
Tb927.10.6500,"amino acid transporter, putative,amino acid permease, putative",Amino.acid.transport,1,1362,1.2,0.22,127.54,2.55,1.35,29.34,29.34,2.57,2.22,1.63,0.663,2.97,0.494
Tb927.6.4660,"cationic amino acid transporter, putative",Amino.acid.transport,1,1620,0.8,-0.25,83.67,1.67,0.74,9.33,9.33,0.82,0.97,0.6,0.679,0.6,0.87
Tb927.11.15840,"L-Lysine transport protein, putative",Amino.acid.transport,7,1389,8.1,3.01,251.66,35.23,5.14,579.64,4057.48,355.85,44.12,31.76,0.823,0.96,1.707
Tb927.11.1560,"1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative",Amino.acids,1,996,3.5,1.79,95.26,1.91,0.93,206.60,206.6,18.12,5.25,5.27,0.794,0.88,0.918
Tb927.4.360,"1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative",Amino.acids,1,843,8.4,3.07,137.83,2.76,1.46,260.67,260.67,22.86,2.72,3.23,0.812,1.83,0.528
Tb927.8.6060,"2-amino-3-ketobutyrate coenzyme A ligase, putative,glycine acetyltransferase, putative",Amino.acids,1,1215,3.1,1.62,301.74,6.03,2.59,625.52,625.52,54.86,17.86,14.7,0.759,0.42,1.33
Tb927.11.6630,"3-methylcrotonoyl-CoA carboxylase beta subunit, putative",Amino.acids,1,1839,1.5,0.54,98.71,1.97,0.98,91.45,91.45,8.02,5.5,2.99,0.738,1.79,0.579
Tb927.8.2020,"agmatinase, putative",Amino.acids,1,996,2.0,1.01,114.39,2.29,1.19,35.05,35.05,3.07,1.53,1.54,0.594,0.82,1.124
Tb927.5.1280,"alanine racemase, putative",Amino.acids,1,774,1.9,0.96,160.91,3.22,1.69,123.86,123.86,10.86,5.58,7.21,0.707,0.91,2.318
Tb927.1.3000,"aminoacylase, putative,N-acyl-L-amino acid amidohydrolase, zinc binding",Amino.acids,1,1209,2.2,1.17,167.56,3.35,1.74,167.62,167.62,14.7,6.54,5.41,0.699,2.09,1.55
Tb927.9.6170,arginine kinase (AK) in cytosol and flagellum,Amino.acids,3,1215,18.2,4.19,644.57,38.67,5.27,2051.86,6155.58,539.85,29.6,24.36,0.844,1.12,1.004
Tb927.7.1110,"asparagine synthetase a, putative",Amino.acids,1,1056,6.6,2.72,338.39,6.77,2.76,659.26,659.26,57.82,8.8,8.33,0.826,1.39,0.684
Tb927.10.3660,aspartate aminotransferase,Amino.acids,2,1212,4.8,2.27,252.52,10.10,3.34,1193.81,2387.62,209.4,43.3,35.73,0.835,1.57,1.809
Tb927.11.5090,"aspartate aminotransferase, mitochondrial",Amino.acids,2,1254,0.6,-0.65,21.03,0.84,-0.25,7.26,14.52,1.27,1.99,1.59,0.64,0.83,0.237
Tb927.2.4590,"branched-chain amino acid aminotransferase, putative",Amino.acids,2,1104,10.8,3.43,245.71,9.83,3.30,566.79,1133.58,99.42,9.24,8.37,0.846,2.2,1.585
Tb927.11.2230,"carnitine O-acetyltransferase, putative (CAT)",Amino.acids,1,2214,1.5,0.54,184.86,3.70,1.89,223.02,223.02,19.56,13.49,6.09,0.767,1.38,0.901
Tb927.10.470,"choline dehydrogenase, putative",Amino.acids,1,1578,0.6,-0.81,88.74,1.77,0.83,47.12,47.12,4.13,7.27,4.61,0.757,0.36,0.817
Tb927.9.12320,"cystathione gamma lyase, putative",Amino.acids,1,1233,2.2,1.13,221.03,4.42,2.14,435.23,435.23,38.17,17.48,14.18,0.801,0.35,0.784
Tb927.10.2750,deoxyhypusine synthase,Amino.acids,1,1386,1.8,0.84,109.14,2.18,1.13,39.54,39.54,3.47,1.94,1.4,0.664,1.22,1.045
Tb927.1.870,"deoxyhypusine synthase, putative",Amino.acids,1,1029,1.0,0.00,104.16,2.08,1.06,33.63,33.63,2.95,2.95,2.87,0.675,1.1,1.036
Tb927.7.5560,"glucosamine-fructose-6-phosphate aminotransferase, putative",Amino.acids,1,1980,1.3,0.33,91.70,1.83,0.87,127.63,127.63,11.19,8.91,4.5,0.775,1.88,0.565
Tb927.5.3800,"glutamine hydrolysing (not ammonia-dependent) carbomoyl phosphate synthase, putative",Amino.acids,1,5502,5.8,2.53,279.89,5.60,2.48,690.15,690.15,60.53,10.48,1.9,0.776,3.01,0.061
Tb927.7.4970,"glutamine synthetase, putative",Amino.acids,1,1266,0.9,-0.13,143.45,2.87,1.52,238.36,238.36,20.9,22.89,18.08,0.673,0.11,2.357
Tb927.7.6940,"glutaminyl cyclase, putative",Amino.acids,1,2244,1.2,0.30,171.43,3.43,1.78,28.59,28.59,2.51,2.04,0.91,0.693,1.68,1.379
Tb927.11.9670,"glycine synthase, putative (GCVT1)",Amino.acids,1,1128,1.2,0.24,118.65,2.37,1.25,110.29,110.29,9.67,8.19,7.26,0.637,0.75,1.681
Tb927.1.1270,"homocysteine S-methyltransferase, putative",Amino.acids,1,1302,2.2,1.14,25.58,0.51,-0.97,98.23,98.23,8.61,3.9,3,0.729,3.79,1.546
Tb927.6.4430,"homoserine kinase, putative (HK)",Amino.acids,1,1008,8.5,3.09,151.32,3.03,1.60,75.06,75.06,6.58,0.77,0.76,0.686,1.33,0.437
Tb927.11.1670,"ISCS2, NFS cysteine desulfurase",Amino.acids,1,1314,1.7,0.74,71.23,1.42,0.51,67.81,67.81,5.95,3.56,2.71,0.705,1,0.734
Tb927.11.1540,"isovaleryl-coA dehydrogenase, putative",Amino.acids,1,1236,0.8,-0.30,112.08,2.24,1.16,112.12,112.12,9.83,12.07,9.77,0.783,0.48,1.368
Tb927.9.2010,"kynureninase, putative",Amino.acids,1,1392,2.1,1.09,119.20,2.38,1.25,253.88,253.88,22.27,10.43,7.49,0.79,2.47,0.435
Tb927.10.11970,"kynurenine aminotransferase, putative",Amino.acids,1,1290,0.6,-0.82,81.51,1.63,0.71,106.98,106.98,9.38,16.56,12.84,0.68,0.87,1.242
Tb927.10.4460,"leucine carboxyl methyltransferase, putative",Amino.acids,3,903,1.5,0.54,84.04,5.04,2.33,63.36,190.08,16.67,11.46,12.69,0.65,1.8,1.103
Tb927.7.5920,"mercaptopyruvate sulfurtransferase, putative (MST)",Amino.acids,1,1125,0.6,-0.79,54.69,1.09,0.13,40.61,40.61,3.56,6.15,5.47,0.714,1.66,0.473
Tb927.10.4000,"methylglutaconyl-CoA hydratase, mitochondrial precursor, putative",Amino.acids,1,834,1.0,-0.07,99.52,1.99,0.99,83.72,83.72,7.34,7.69,9.22,0.716,0.45,1.441
Tb927.7.7040,"methylthioadenosine phosphorylase, putative (MTAP)",Amino.acids,1,930,8.5,3.08,320.75,6.42,2.68,583.69,583.69,51.19,6.04,6.49,0.838,1.78,0.557
Tb927.9.1960,"nitrilase, putative",Amino.acids,1,822,1.2,0.29,150.98,3.02,1.59,149.65,149.65,13.12,10.7,13.02,0.762,0.68,1.752
Tb927.7.1910,"pyridoxal phosphate containing glycine decarboxylase, putative",Amino.acids,1,2913,2.2,1.13,232.97,4.66,2.22,192.08,192.08,16.85,7.69,2.64,0.769,1.19,0.325
Tb927.8.3130,"S-adenosyl-methyltransferase mraW-like protein, putative",Amino.acids,1,1425,0.9,-0.07,72.89,1.46,0.54,17.48,17.48,1.53,1.61,1.13,0.599,1.48,0.856
Tb927.11.9590,"S-adenosylhomocysteine hydrolase, putative",Amino.acids,1,1314,22.6,4.50,3059.01,61.18,5.93,4242.34,4242.34,372.06,16.49,12.55,0.857,0.68,1.082
Tb927.9.12910,selenocysteine lyase,Amino.acids,1,1356,1.6,0.63,150.10,3.00,1.59,25.09,25.09,2.2,1.42,1.05,0.601,1.18,1.721
Tb927.7.4390,"threonine synthase, putative",Amino.acids,1,2028,0.6,-0.78,205.04,4.10,2.04,167.95,167.95,14.73,25.25,12.45,0.718,0.19,1.751
Tb927.1.4690,arginine N-methyltransferase (PRMT1),Arg.methylation,1,1038,2.9,1.53,111.23,2.22,1.15,91.33,91.33,8.01,2.78,2.68,0.795,1.1,0.308
Tb927.10.3560,"arginine N-methyltransferase, putative",Arg.methylation,1,1170,2.6,1.40,129.89,2.60,1.38,138.97,138.97,12.19,4.61,3.94,0.797,0.97,0.694
Tb927.5.3960,"arginine N-methyltransferase, type I (PRMT6)",Arg.methylation,1,1107,1.7,0.77,111.96,2.24,1.16,40.10,40.1,3.52,2.06,1.86,0.594,1.33,1.163
Tb927.10.640,"arginine N-methyltransferase, type II (PRMT5)",Arg.methylation,1,2355,1.6,0.70,141.99,2.84,1.51,51.84,51.84,4.55,2.8,1.19,0.731,1.02,1.214
Tb927.7.5490,"arginine N-methyltransferase, type III (PRMT7)",Arg.methylation,1,1173,0.8,-0.39,82.28,1.65,0.72,74.94,74.94,6.57,8.63,7.36,0.739,1.5,0.426
Tb927.10.370,"calcineurin B subunit, putative",Calcium,1,540,1.4,0.51,57.26,1.15,0.20,22.24,22.24,1.95,1.37,2.54,0.693,1.04,2.171
Tb927.10.2880,"calcium channel protein, putative",Calcium,1,8082,2.0,1.03,300.55,6.01,2.59,360.87,360.87,31.65,15.52,1.92,0.782,4.4,0.077
Tb927.6.2720,"calcium-binding protein, putative",Calcium,2,1080,2.9,1.51,137.91,5.52,2.46,150.41,300.82,26.38,9.23,8.55,0.732,1.14,1.039
Tb927.11.13020,calmodulin,Calcium,4,450,74.0,6.21,700.25,56.02,5.81,979.99,3919.96,343.79,4.65,10.33,0.823,1.15,1.394
Tb927.9.11230,"calmodulin-like protein, putative,EF hand containing protein",Calcium,1,426,12.9,3.69,174.41,3.49,1.80,220.71,220.71,19.36,1.5,3.52,0.707,1.33,1.28
Tb927.11.7940,"calmodulin, putative",Calcium,1,465,5.8,2.52,91.73,1.83,0.88,56.37,56.37,4.94,0.86,1.85,0.458,5.08,0.308
Tb927.11.9790,"calmodulin, putative",Calcium,1,492,5.3,2.39,156.15,3.12,1.64,79.48,79.48,6.97,1.33,2.7,0.653,2.04,0.877
Tb927.6.4710,"calmodulin, putative",Calcium,1,2022,2.6,1.37,155.30,3.11,1.64,221.45,221.45,19.42,7.53,3.72,0.785,1.57,1.563
Tb927.11.3680,"calmodulin, putative",Calcium,1,471,2.6,1.36,107.31,2.15,1.10,105.10,105.1,9.22,3.58,7.6,0.755,2.46,0.791
Tb927.9.6130,"calmodulin, putative",Calcium,1,474,5.6,2.49,87.54,1.75,0.81,306.29,306.29,26.86,4.78,10.08,0.816,2.79,0.876
Tb927.4.3330,"hypothetical protein, conserved, EF hand",Calcium,1,552,4.1,2.05,78.90,1.58,0.66,172.60,172.6,15.14,3.66,6.63,0.762,2.1,1.567
Tb927.10.6960,"hypothetical protein, conserved, EF hand superfamily (E-4)",Calcium,3,963,2.3,1.19,151.18,9.07,3.18,186.27,558.81,49.01,21.42,22.24,0.77,0.96,1.963
Tb927.11.17000,AIR9,Cell.cycle,1,3000,5.1,2.34,1116.15,22.32,4.48,3142.71,3142.71,275.62,54.53,18.18,0.832,2.87,0.306
Tb927.10.15690,"anaphase promoting complex, subunit 10-like protein",Cell.cycle,1,708,1.4,0.45,68.70,1.37,0.46,26.74,26.74,2.35,1.72,2.43,0.729,1.1,1.197
Tb927.11.8220,aurora B kinase (AUK1),Cell.cycle,1,930,1.8,0.81,54.41,1.09,0.12,191.66,191.66,16.81,9.57,10.29,0.802,2.37,0.707
Tb927.10.1070,cdc2- like protein kinase (CRK1),Cell.cycle,2,906,2.8,1.46,49.19,1.97,0.98,104.70,209.4,18.36,6.66,7.35,0.729,1.07,0.712
Tb927.10.4990,cdc2- like protein kinase 2 (CRK3),Cell.cycle,2,936,3.1,1.61,140.38,5.62,2.49,149.17,298.34,26.16,8.57,9.16,0.754,1.32,0.833
Tb927.7.5580,cell cycle associated protein MOB1-B (MOB1B),Cell.cycle,2,678,3.3,1.71,73.59,2.94,1.56,39.04,78.08,6.85,2.1,3.1,0.583,0.78,0.876
Tb927.7.7360,"cell division control protein 2 homolog 2,cdc2-related kinase (CRK2)",Cell.cycle,1,1038,2.1,1.07,135.87,2.72,1.44,113.68,113.68,9.97,4.74,4.57,0.776,1,1.225
Tb927.8.5390,cell division control protein 2 homolog 4 (CRK4),Cell.cycle,1,1395,0.6,-0.77,56.57,1.13,0.18,11.33,11.33,0.99,1.69,1.21,0.567,1.74,0.526
Tb927.11.2710,"cell division cycle 45 (CDC45), putative",Cell.cycle,1,2058,0.8,-0.36,50.47,1.01,0.01,26.48,26.48,2.32,2.97,1.44,0.674,2.12,0.262
Tb927.11.12430,"cell division cycle phosphatase 14, putative",Cell.cycle,1,2457,0.9,-0.16,106.18,2.12,1.09,139.15,139.15,12.2,13.66,5.56,0.757,2.16,1.132
Tb927.6.2150,"cell division cycle protein 16, putative",Cell.cycle,1,1644,1.2,0.26,109.62,2.19,1.13,91.24,91.24,8,6.69,4.07,0.701,1.02,0.908
Tb927.1.3230,"cell division cycle protein, putative",Cell.cycle,1,2148,1.3,0.38,170.85,3.42,1.77,26.13,26.13,2.29,1.76,0.82,0.641,1.31,1.051
Tb927.8.6500,"cell division cycle protein, putative",Cell.cycle,1,1620,2.5,1.30,102.41,2.05,1.03,105.26,105.26,9.23,3.75,2.31,0.741,3.58,0.49
Tb927.4.2260,Centrin1,Cell.cycle,1,549,3.0,1.59,77.68,1.55,0.64,60.78,60.78,5.33,1.77,3.22,0.776,1.35,0.676
Tb927.8.1080,Centrin2,Cell.cycle,1,591,3.6,1.84,107.86,2.16,1.11,91.79,91.79,8.05,2.25,3.81,0.728,1.09,1.332
Tb927.10.8710,Centrin3,Cell.cycle,1,498,1.1,0.18,51.97,1.04,0.06,82.49,82.49,7.23,6.38,12.81,0.711,1.25,1.176
Tb927.7.3410,Centrin4 - basal bodies and bilobe,Cell.cycle,1,450,12.9,3.69,184.63,3.69,1.88,290.48,290.48,25.48,1.97,4.38,0.784,2.15,0.741
Tb927.11.13900,Centrin5,Cell.cycle,1,561,3.5,1.80,85.14,1.70,0.77,84.56,84.56,7.42,2.13,3.8,0.657,1.79,1.041
Tb927.8.6340,"CYC2-like cyclin, putative (CYC10)",Cell.cycle,1,1011,0.9,-0.15,11.33,0.23,-2.14,109.55,109.55,9.61,10.66,10.54,0.676,1.2,1.115
Tb927.8.6350,"CYC2-like cyclin, putative (CYC11)",Cell.cycle,1,2364,0.7,-0.56,15.85,0.32,-1.66,10.82,10.82,0.95,1.4,0.59,0.658,1.45,0.457
Tb927.7.7170,"CYC2-like cyclin, putative (CYC4)",Cell.cycle,2,2175,1.8,0.85,73.42,2.94,1.55,81.67,163.34,14.33,7.94,3.65,0.711,3.03,0.202
Tb927.10.11440,"CYC2-like cyclin, putative,G1 cyclin CycE4, putative (CYC5)",Cell.cycle,1,2700,1.6,0.70,103.28,2.07,1.05,193.10,193.1,16.94,10.46,3.87,0.734,1.41,0.421
Tb927.11.12610,"cyclin 1,serine peptidase family S51, peptidase E, putative",Cell.cycle,1,1005,0.9,-0.15,133.99,2.68,1.42,68.41,68.41,6,6.67,6.64,0.642,0.79,1.223
Tb927.11.14080,"cyclin 2,G1 cyclin (CYC2)",Cell.cycle,2,636,3.5,1.82,18.17,0.73,-0.46,97.77,195.54,17.15,4.87,7.66,0.762,3.11,0.411
Tb927.6.1460,"cyclin 3, mitotic cyclin,  (CYC3)",Cell.cycle,1,1245,4.5,2.16,130.92,2.62,1.39,96.17,96.17,8.43,1.89,1.52,0.71,3.44,8
Tb927.11.16720,"cyclin 6,mitotic cyclin (CYC6)",Cell.cycle,1,1281,2.6,1.37,19.08,0.38,-1.39,194.14,194.14,17.03,6.59,5.14,0.749,3.29,0.41
Tb927.6.5020,"cyclin 7, putative,CYC2-like cyclin, putative (CYC7)",Cell.cycle,1,642,0.7,-0.45,17.27,0.35,-1.53,0.58,0.58,0.05,0.07,0.11,0.601,1.13,0.5
Tb927.11.14030,"cyclin 9,cyclin C-like, ",Cell.cycle,1,846,1.0,-0.06,90.17,1.80,0.85,40.03,40.03,3.51,3.66,4.33,0.673,0.51,1.942
Tb927.11.11500,"cyclin dependent kinase-binding protein, putative",Cell.cycle,1,1695,2.5,1.34,155.50,3.11,1.64,18.58,18.58,1.63,0.64,0.38,0.743,1.13,0.392
Tb927.11.16390,"cyclin dependent kinases regulatory subunit, putative (CKS1)",Cell.cycle,1,297,2.9,1.52,41.34,0.83,-0.27,68.17,68.17,5.98,2.08,7,0.723,1.68,0.886
Tb927.10.6330,KKT1 kinetochore protein,Cell.cycle,1,4785,1.6,0.67,214.61,4.29,2.10,266.76,266.76,23.4,14.66,3.06,0.761,3.62,0.191
Tb927.7.2110,KKT11 Kinetochore protein,Cell.cycle,1,756,3.4,1.75,62.62,1.25,0.32,148.14,148.14,12.99,3.87,5.12,0.797,3.51,0.451
Tb927.8.1680,KKT12 Kinetochore protein,Cell.cycle,1,603,4.9,2.29,107.36,2.15,1.10,124.10,124.1,10.88,2.22,3.68,0.748,1.3,0.802
Tb927.7.4860,KKT13 Kinetochore protein,Cell.cycle,1,1020,1.6,0.71,54.84,1.10,0.13,53.48,53.48,4.69,2.88,2.82,0.698,1.22,0.862
Tb927.10.7240,KKT14 Kinetochore protein,Cell.cycle,1,2058,1.4,0.53,145.32,2.91,1.54,116.72,116.72,10.24,7.07,3.44,0.728,1.81,0.889
Tb927.6.3760,KKT15 Kinetochore protein,Cell.cycle,1,1017,1.6,0.70,99.74,1.99,1.00,83.32,83.32,7.31,4.5,4.42,0.676,0.96,0.774
Tb927.11.10000,KKT16 Kinetochore protein,Cell.cycle,1,660,1.4,0.46,94.32,1.89,0.92,43.44,43.44,3.81,2.76,4.18,0.707,1.19,2.944
Tb927.3.2330,KKT17 Kinetochore protein,Cell.cycle,1,1857,1.8,0.83,121.26,2.43,1.28,91.23,91.23,8,4.5,2.42,0.703,1.44,0.871
Tb927.9.3800,KKT18 Kinetochore protein,Cell.cycle,1,1797,1.8,0.82,128.30,2.57,1.36,94.77,94.77,8.31,4.7,2.62,0.752,1.57,0.814
Tb927.11.10520,"KKT2 kinetochore protein, tyrosine kinase, putative",Cell.cycle,1,3783,1.5,0.59,132.78,2.66,1.41,134.14,134.14,11.76,7.79,2.06,0.727,2.64,0.337
Tb927.9.10920,"KKT3 kinetochore protein, protein kinase, putative",Cell.cycle,1,3177,1.4,0.46,106.86,2.14,1.10,116.29,116.29,10.2,7.42,2.34,0.702,1.45,0.533
Tb927.8.3680,KKT4 kinetochore protein,Cell.cycle,1,1938,1.2,0.27,97.28,1.95,0.96,85.90,85.9,7.53,6.23,3.21,0.716,3.02,0.433
Tb927.7.4850,KKT5 Kinetochore protein,Cell.cycle,1,687,0.9,-0.16,39.10,0.78,-0.35,53.13,53.13,4.66,5.19,7.55,0.693,2.08,0.63
Tb927.6.1210,KKT6 kinetochore protein,Cell.cycle,1,618,2.3,1.21,74.27,1.49,0.57,49.03,49.03,4.3,1.86,3.01,0.584,1.22,0.618
Tb927.11.1030,KKT7 Kinetochore protein,Cell.cycle,1,1935,3.0,1.60,112.00,2.24,1.16,226.36,226.36,19.85,6.56,3.39,0.803,3.17,0.43
Tb927.4.5110,KKT8 Kinetochore protein,Cell.cycle,1,1200,2.3,1.22,125.87,2.52,1.33,154.59,154.59,13.56,5.81,4.84,0.771,0.94,1.057
Tb927.8.1150,KKT9 Kinetochore protein,Cell.cycle,1,1029,1.5,0.58,53.30,1.07,0.09,132.24,132.24,11.6,7.76,7.54,0.786,1.47,0.737
Tb927.7.1590,"mitotic cyclin,cyclin CycB3 (CYC8)",Cell.cycle,1,1410,1.4,0.47,15.89,0.32,-1.65,60.95,60.95,5.35,3.86,2.74,0.666,3.63,0.288
Tb927.8.4810,prohibitin 1 (PHB1),Cell.cycle,1,834,3.9,1.96,164.92,3.30,1.72,124.35,124.35,10.91,2.8,3.36,0.775,0.41,0.787
Tb927.10.4310,"prohibitin 2, putative (PHB2)",Cell.cycle,2,888,2.8,1.47,204.69,8.19,3.03,162.25,324.5,28.46,10.27,11.57,0.764,0.32,1.224
Tb927.11.12310,"protein kinase, putative,cdc2-related kinase, putative (CRK12)",Cell.cycle,1,2310,1.6,0.70,109.14,2.18,1.13,105.55,105.55,9.26,5.7,2.47,0.723,2.69,0.369
Tb927.11.6550,PUF nine target 1 (PNT1),Cell.cycle,1,1593,4.5,2.16,413.72,8.27,3.05,55.97,55.97,4.91,1.1,0.69,0.75,2.87,0.35
Tb927.4.3420,Putative Wee1 kinase,Cell.cycle,1,1812,0.8,-0.30,104.05,2.08,1.06,44.45,44.45,3.9,4.81,2.65,0.735,2.07,0.55
Tb927.10.6240,"ras-like small GTPase, putative (TbRHP) spindle formation and mitosis",Cell.cycle,1,1212,2.2,1.12,177.60,3.55,1.83,58.37,58.37,5.12,2.36,1.95,0.684,1.1,1.512
Tb927.7.1190,"regulator of chromosome condensation, putative",Cell.cycle,1,3459,1.7,0.80,162.34,3.25,1.70,152.45,152.45,13.37,7.7,2.23,0.777,3.35,0.838
Tb927.7.1210,"regulator of chromosome condensation, putative",Cell.cycle,1,2523,0.6,-0.84,74.15,1.48,0.57,8.77,8.77,0.77,1.38,0.55,0.697,1.29,0.186
Tb927.3.1750,"rev7, putative,mitotic spindle checkpoint component, putative",Cell.cycle,1,606,1.6,0.65,37.02,0.74,-0.43,12.49,12.49,1.1,0.7,1.16,0.489,2.32,0.391
Tb927.7.1320,"10 kDa heat shock protein, putative (HSP10)",Chaperone,2,303,58.2,5.86,367.65,14.71,3.88,490.19,980.38,85.98,1.48,4.88,0.729,0.83,0.957
Tb927.2.5980,"ATP-dependent Clp protease subunit, heat shock protein 104 (HSP104)",Chaperone,2,2613,2.0,0.97,156.55,6.26,2.65,220.30,440.6,38.64,19.69,7.54,0.716,2.68,0.742
Tb927.2.3030,"ATP-dependent Clp protease subunit, heat shock protein 78 (HSP78)",Chaperone,2,2439,1.7,0.77,174.74,6.99,2.81,221.21,442.42,38.8,22.8,9.35,0.763,1.52,0.288
Tb927.10.2290,"chaperone protein DNAj, endoplasmatic reticulum",Chaperone,2,1251,1.8,0.83,86.13,3.45,1.78,106.13,212.26,18.62,10.44,8.35,0.753,1.05,0.594
Tb927.9.12730,"chaperone protein DNAj, endoplasmatic reticulum",Chaperone,1,1356,1.8,0.88,113.68,2.27,1.18,78.02,78.02,6.84,3.71,2.74,0.736,0.75,0.547
Tb927.11.1010,"chaperone protein DNAj, putative",Chaperone,1,1116,1.3,0.35,98.20,1.96,0.97,75.41,75.41,6.61,5.19,4.65,0.675,0.89,1.462
Tb927.7.6660,"chaperone protein DNAj, putative",Chaperone,1,774,1.2,0.26,51.84,1.04,0.05,13.14,13.14,1.15,0.96,1.24,0.591,0.35,0.475
Tb927.6.3850,"chaperone protein DNAj, putative",Chaperone,1,870,1.0,0.01,39.21,0.78,-0.35,0.93,0.93,0.08,0.08,0.09,0.544,1.74,0.391
Tb927.5.2880,"chaperone protein DNAj, putative",Chaperone,1,567,2.5,1.29,73.44,1.47,0.55,41.43,41.43,3.63,1.48,2.61,0.65,1.81,1.813
Tb927.8.8310,"chaperone protein DNAj, putative",Chaperone,1,1446,1.6,0.68,203.11,4.06,2.02,157.20,157.2,13.79,8.61,5.95,0.671,0.69,1.781
Tb927.2.3960,"chaperone protein DNAj, putative",Chaperone,1,693,1.5,0.55,73.44,1.47,0.55,31.04,31.04,2.72,1.87,2.7,0.572,0.97,1.517
Tb927.9.14180,"chaperone protein DNAj, putative",Chaperone,1,969,2.5,1.29,109.03,2.18,1.12,63.35,63.35,5.56,2.27,2.34,0.728,1.15,1.436
Tb927.7.540,"chaperone protein DNAj, putative",Chaperone,1,1374,1.1,0.17,98.62,1.97,0.98,67.51,67.51,5.92,5.25,3.82,0.706,1.18,0.453
Tb927.1.1230,"chaperone protein DNAj, putative",Chaperone,1,1443,0.6,-0.69,104.52,2.09,1.06,18.59,18.59,1.63,2.63,1.82,0.685,1.19,1.411
Tb927.3.2290,"chaperone protein DNAj, putative",Chaperone,1,1122,1.9,0.95,106.03,2.12,1.08,35.92,35.92,3.15,1.63,1.45,0.649,1.29,0.948
Tb927.11.16980,"chaperone protein DNAj, putative",Chaperone,1,927,2.3,1.22,101.45,2.03,1.02,104.45,104.45,9.16,3.94,4.25,0.806,1.43,1.426
Tb927.11.5710,"chaperone protein DNAj, putative",Chaperone,1,1272,1.0,-0.05,57.67,1.15,0.21,35.59,35.59,3.12,3.24,2.55,0.717,2.83,0.706
Tb927.10.5040,"chaperone protein DNAj, putative",Chaperone,1,873,2.1,1.06,104.62,2.09,1.07,95.58,95.58,8.38,4.01,4.59,0.688,1.16,1.261
Tb927.8.7010,"chaperone protein DNAj, putative",Chaperone,1,609,2.0,1.00,94.58,1.89,0.92,59.17,59.17,5.19,2.6,4.27,0.591,0.66,2.308
Tb927.10.12640,"chaperone protein DNAj, putative",Chaperone,1,1893,1.1,0.19,106.82,2.14,1.10,53.16,53.16,4.66,4.09,2.16,0.741,2.01,0.785
