2013Latest_numbers,Annotation,Class,Orthologue count,ORF length,PC RNAs/cell Silicotryp,RPM Ribsome profiling,RPM Ribsome profiling x orthogue count,Ribosomes/cell/gene,Ribosomes/mRNA,Ribosomes/kb,Fraction in polysomes,LOG 2 Ribosomes/kb,Ribosomes/kb on polysomes,
Tb927.8.2020,"agmatinase, putative",Amino.acids,1,996,5.3,36.82,36.82,7.24,1.37,1.37,0.59,0.45,2.322033898,
Tb927.5.1280,"alanine racemase, putative",Amino.acids,1,774,4.6,56.36,56.36,11.08,2.41,3.11,0.62,1.64,5.016129032,
Tb927.1.3000,"aminoacylase, putative,N-acyl-L-amino acid amidohydrolase, zinc binding",Amino.acids,1,1209,2.3,49.52,49.52,9.74,4.22,3.49,0.56,1.8,6.232142857,
Tb927.9.6170,arginine kinase (AK) in cytosol and flagellum,Amino.acids,3,1215,35.0,1751.15,5253.45,1032.87,29.48,24.27,#N/A,4.6,#N/A,
Tb927.7.1110,"asparagine synthetase a, putative",Amino.acids,1,1056,10.1,662.57,662.57,130.27,12.86,12.18,0.79,3.61,15.41772152,
Tb927.10.3660,aspartate aminotransferase,Amino.acids,2,1212,6.6,403.26,806.52,158.57,23.94,19.75,0.81,4.3,24.38271605,
Tb927.11.5090,"aspartate aminotransferase, mitochondrial",Amino.acids,2,1254,1.7,35.38,70.76,13.91,8.42,6.72,0.51,2.75,13.17647059,
Tb927.2.4590,"branched-chain amino acid aminotransferase, putative",Amino.acids,2,1104,10.5,155.30,310.6,61.07,5.83,5.28,0.595,2.4,8.87394958,
Tb927.11.2230,"carnitine O-acetyltransferase, putative (CAT)",Amino.acids,1,2214,2.3,172.09,172.09,33.83,14.96,6.76,0.42,2.76,16.0952381,
Tb927.10.470,"choline dehydrogenase, putative",Amino.acids,1,1578,3.4,152.14,152.14,29.91,8.91,5.64,0.64,2.5,8.8125,
Tb927.9.12320,"cystathione gamma lyase, putative",Amino.acids,1,1233,13.3,1505.82,1505.82,296.06,22.3,18.08,0.875,4.18,20.66285714,
Tb927.10.2750,deoxyhypusine synthase,Amino.acids,1,1386,3.2,29.93,29.93,5.88,1.86,1.34,0.51,0.42,2.62745098,
Tb927.1.870,"deoxyhypusine synthase, putative",Amino.acids,1,1029,1.9,28.21,28.21,5.55,2.85,2.77,0.57,1.47,4.859649123,
Tb927.7.5560,"glucosamine-fructose-6-phosphate aminotransferase, putative",Amino.acids,1,1980,1.4,115.27,115.27,22.66,15.76,7.96,0.7,2.99,11.37142857,
Tb927.5.3800,"glutamine hydrolysing (not ammonia-dependent) carbomoyl phosphate synthase, putative",Amino.acids,1,5502,4.1,3609.29,3609.29,709.62,172.18,31.29,0.845,4.97,37.0295858,
Tb927.7.4970,"glutamine synthetase, putative",Amino.acids,1,1266,18.1,894.77,894.77,175.92,9.71,7.67,0.8,2.94,9.5875,
Tb927.7.6940,"glutaminyl cyclase, putative",Amino.acids,1,2244,1.6,11.74,11.74,2.31,1.47,0.66,0.565,-0.6,1.168141593,
Tb927.11.9670,"glycine synthase, putative (GCVT1)",Amino.acids,1,1128,3.4,84.17,84.17,16.55,4.87,4.32,0.57,2.11,7.578947368,
Tb927.1.1270,"homocysteine S-methyltransferase, putative",Amino.acids,1,1302,1.3,16.08,16.08,3.16,2.53,1.94,0.475,0.96,4.084210526,
Tb927.6.4430,"homoserine kinase, putative (HK)",Amino.acids,1,1008,13.8,123.16,123.16,24.21,1.76,1.74,0.65,0.8,2.676923077,
Tb927.11.1670,"ISCS2, NFS cysteine desulfurase",Amino.acids,1,1314,3.6,88.86,88.86,17.47,4.85,3.69,0.615,1.88,6,
Tb927.11.1540,"isovaleryl-coA dehydrogenase, putative",Amino.acids,1,1236,3.6,162.82,162.82,32.01,8.82,7.14,0.77,2.84,9.272727273,
Tb927.9.2010,"kynureninase, putative",Amino.acids,1,1392,1.9,226.53,226.53,44.54,23.94,17.2,0.86,4.1,20,
Tb927.10.11970,"kynurenine aminotransferase, putative",Amino.acids,1,1290,1.4,95.11,95.11,18.7,13.34,10.34,0.55,3.37,18.8,
Tb927.10.4460,"leucine carboxyl methyltransferase, putative",Amino.acids,3,903,1.7,30.65,91.95,18.08,10.39,11.51,0.555,3.52,20.73873874,
Tb927.7.5920,"mercaptopyruvate sulfurtransferase, putative (MST)",Amino.acids,1,1125,0.8,49.95,49.95,9.82,13.01,11.57,0.645,3.53,17.9379845,
Tb927.10.4000,"methylglutaconyl-CoA hydratase, mitochondrial precursor, putative",Amino.acids,1,834,4.5,122.38,122.38,24.06,5.33,6.4,0.7,2.68,9.142857143,
Tb927.7.7040,"methylthioadenosine phosphorylase, putative (MTAP)",Amino.acids,1,930,10.2,562.20,562.2,110.53,10.84,11.65,0.825,3.54,14.12121212,
Tb927.9.1960,"nitrilase, putative",Amino.acids,1,822,3.9,120.54,120.54,23.7,6.11,7.43,0.735,2.89,10.10884354,
Tb927.7.1910,"pyridoxal phosphate containing glycine decarboxylase, putative",Amino.acids,1,2913,4.0,476.98,476.98,93.78,23.65,8.12,0.69,3.02,11.76811594,
Tb927.8.3130,"S-adenosyl-methyltransferase mraW-like protein, putative",Amino.acids,1,1425,1.4,13.11,13.11,2.58,1.87,1.32,0.505,0.4,2.613861386,
Tb927.11.9590,"S-adenosylhomocysteine hydrolase, putative",Amino.acids,1,1314,71.1,5513.49,5513.49,1084,15.24,11.6,0.89,3.54,13.03370787,
Tb927.9.12910,selenocysteine lyase,Amino.acids,1,1356,2.8,11.86,11.86,2.33,0.83,0.61,#N/A,-0.71,#N/A,
Tb927.7.4390,"threonine synthase, putative",Amino.acids,1,2028,6.4,472.34,472.34,92.87,14.42,7.11,0.72,2.83,9.875,
Tb927.1.4690,arginine N-methyltransferase (PRMT1),Arg.methylation,1,1038,5.6,259.20,259.2,50.96,9.03,8.7,0.805,3.12,10.80745342,
Tb927.10.3560,"arginine N-methyltransferase, putative",Arg.methylation,1,1170,5.9,199.22,199.22,39.17,6.65,5.68,0.805,2.51,7.055900621,
Tb927.5.3960,"arginine N-methyltransferase, type I (PRMT6)",Arg.methylation,1,1107,2.7,24.78,24.78,4.87,1.78,1.6,0.5,0.68,3.2,
Tb927.10.640,"arginine N-methyltransferase, type II (PRMT5)",Arg.methylation,1,2355,3.4,39.91,39.91,7.85,2.3,0.98,0.53,-0.03,1.849056604,
Tb927.7.5490,"arginine N-methyltransferase, type III (PRMT7)",Arg.methylation,1,1173,1.1,113.13,113.13,22.24,20.25,17.26,0.75,4.11,23.01333333,
Tb927.10.370,"calcineurin B subunit, putative",Calcium,1,540,2.9,9.46,9.46,1.86,0.63,1.17,0.475,0.23,2.463157895,
Tb927.10.2880,"calcium channel protein, putative",Calcium,1,8082,1.0,1023.27,1023.27,201.18,202.62,25.07,0.86,4.65,29.15116279,
Tb927.6.2720,"calcium-binding protein, putative",Calcium,2,1080,5.4,121.52,243.04,47.78,8.89,8.23,0.58,3.04,14.18965517,
Tb927.11.13020,calmodulin,Calcium,4,450,138.3,586.54,2346.16,461.27,3.34,7.41,0.87,2.89,8.517241379,
Tb927.9.11230,"calmodulin-like protein, putative,EF hand containing protein",Calcium,1,426,20.8,123.64,123.64,24.31,1.17,2.75,0.725,1.46,3.793103448,
Tb927.6.4710,"calmodulin, putative",Calcium,1,2022,3.5,86.42,86.42,16.99,4.81,2.38,0.57,1.25,4.175438596,
Tb927.11.9790,"calmodulin, putative",Calcium,1,492,5.5,42.66,42.66,8.39,1.52,3.08,0.465,1.62,6.623655914,
Tb927.11.7940,"calmodulin, putative",Calcium,1,465,2.4,34.61,34.61,6.8,2.79,6,0.48,2.58,12.5,
Tb927.9.6130,"calmodulin, putative",Calcium,1,474,4.3,120.07,120.07,23.61,5.46,11.51,0.82,3.52,14.03658537,
Tb927.11.3680,"calmodulin, putative",Calcium,1,471,2.2,51.61,51.61,10.15,4.52,9.61,0.68,3.26,14.13235294,
Tb927.4.3330,"hypothetical protein, conserved, EF hand",Calcium,1,552,4.2,50.40,50.4,9.91,2.34,4.23,0.7,2.08,6.042857143,
Tb927.10.6960,"hypothetical protein, conserved, EF hand superfamily (E-4)",Calcium,3,963,5.1,94.31,282.93,55.63,10.91,11.33,0.635,3.5,17.84251969,
Tb927.11.17000,AIR9,Cell.cycle,1,3000,3.8,3436.55,3436.55,675.65,178.07,59.36,0.855,5.89,69.42690058,
Tb927.10.15690,"anaphase promoting complex, subunit 10-like protein",Cell.cycle,1,708,2.7,19.42,19.42,3.82,1.44,2.03,0.55,1.02,3.690909091,
Tb927.11.8220,aurora B kinase (AUK1),Cell.cycle,1,930,1.6,109.78,109.78,21.58,13.54,14.55,0.66,3.86,22.04545455,
Tb927.10.1070,cdc2- like protein kinase (CRK1),Cell.cycle,2,906,5.5,131.48,262.96,51.7,9.35,10.32,0.81,3.37,12.74074074,
Tb927.10.4990,cdc2- like protein kinase 2 (CRK3),Cell.cycle,2,936,5.0,130.63,261.26,51.37,10.3,11,0.605,3.46,18.18181818,
Tb927.7.5580,cell cycle associated protein MOB1-B (MOB1B),Cell.cycle,2,678,9.0,55.00,110,21.63,2.4,3.54,0.615,1.82,5.756097561,
Tb927.7.7360,"cell division control protein 2 homolog 2,cdc2-related kinase (CRK2)",Cell.cycle,1,1038,4.5,89.40,89.4,17.58,3.87,3.73,0.715,1.9,5.216783217,
Tb927.8.5390,cell division control protein 2 homolog 4 (CRK4),Cell.cycle,1,1395,0.7,11.80,11.8,2.32,3.21,2.3,0.445,1.2,5.168539326,
Tb927.11.2710,"cell division cycle 45 (CDC45), putative",Cell.cycle,1,2058,0.8,45.52,45.52,8.95,11.3,5.49,0.59,2.46,9.305084746,
Tb927.11.12430,"cell division cycle phosphatase 14, putative",Cell.cycle,1,2457,0.9,54.68,54.68,10.75,12.05,4.91,0.6,2.3,8.183333333,
Tb927.6.2150,"cell division cycle protein 16, putative",Cell.cycle,1,1644,2.5,94.35,94.35,18.55,7.37,4.48,0.575,2.16,7.791304348,
Tb927.1.3230,"cell division cycle protein, putative",Cell.cycle,1,2148,2.1,18.08,18.08,3.55,1.67,0.78,0.46,-0.36,1.695652174,
Tb927.8.6500,"cell division cycle protein, putative",Cell.cycle,1,1620,1.5,57.24,57.24,11.25,7.63,4.71,0.64,2.24,7.359375,
Tb927.4.2260,Centrin1,Cell.cycle,1,549,4.8,63.86,63.86,12.56,2.61,4.76,0.68,2.25,7,
Tb927.8.1080,Centrin2,Cell.cycle,1,591,7.1,60.93,60.93,11.98,1.69,2.86,0.72,1.52,3.972222222,
Tb927.10.8710,Centrin3,Cell.cycle,1,498,1.9,53.75,53.75,10.57,5.42,10.89,0.645,3.44,16.88372093,
Tb927.7.3410,Centrin4 - basal bodies and bilobe,Cell.cycle,1,450,12.9,174.71,174.71,34.35,2.66,5.91,0.77,2.56,7.675324675,
Tb927.11.13900,Centrin5,Cell.cycle,1,561,4.2,43.58,43.58,8.57,2.05,3.65,0.565,1.87,6.460176991,
Tb927.8.6340,"CYC2-like cyclin, putative (CYC10)",Cell.cycle,1,1011,1.6,78.50,78.5,15.43,9.56,9.45,0.69,3.24,13.69565217,
Tb927.8.6350,"CYC2-like cyclin, putative (CYC11)",Cell.cycle,1,2364,1.0,15.59,15.59,3.07,3.05,1.29,0.54,0.37,2.388888889,
Tb927.7.7170,"CYC2-like cyclin, putative (CYC4)",Cell.cycle,2,2175,1.3,127.42,254.84,50.1,39.21,18.03,0.795,4.17,22.67924528,
Tb927.10.11440,"CYC2-like cyclin, putative,G1 cyclin CycE4, putative (CYC5)",Cell.cycle,1,2700,2.5,311.59,311.59,61.26,24.85,9.2,0.805,3.2,11.42857143,
Tb927.11.12610,"cyclin 1,serine peptidase family S51, peptidase E, putative",Cell.cycle,1,1005,2.4,67.98,67.98,13.37,5.46,5.43,0.6,2.44,9.05,
Tb927.11.14080,"cyclin 2,G1 cyclin (CYC2)",Cell.cycle,2,636,2.4,73.41,146.82,28.87,11.87,18.66,0.81,4.22,23.03703704,
Tb927.6.1460,"cyclin 3, mitotic cyclin,  (CYC3)",Cell.cycle,1,1245,2.8,3.33,3.33,0.65,0.23,0.19,0.225,-2.4,0.844444444,
Tb927.11.16720,"cyclin 6,mitotic cyclin (CYC6)",Cell.cycle,1,1281,1.7,138.34,138.34,27.2,16.08,12.55,0.75,3.65,16.73333333,
Tb927.6.5020,"cyclin 7, putative,CYC2-like cyclin, putative (CYC7)",Cell.cycle,1,642,1.4,1.00,1,0.2,0.14,0.22,0.13,-2.18,1.692307692,
Tb927.11.14030,"cyclin 9,cyclin C-like, ",Cell.cycle,1,846,4.1,39.32,39.32,7.73,1.89,2.23,0.515,1.16,4.330097087,
Tb927.11.11500,"cyclin dependent kinase-binding protein, putative",Cell.cycle,1,1695,4.8,40.56,40.56,7.97,1.65,0.97,0.71,-0.04,1.366197183,
Tb927.11.16390,"cyclin dependent kinases regulatory subunit, putative (CKS1)",Cell.cycle,1,297,3.7,43.88,43.88,8.63,2.35,7.9,0.65,2.98,12.15384615,
Tb927.10.6330,KKT1 kinetochore protein,Cell.cycle,1,4785,0.9,369.54,369.54,72.65,76.74,16.04,0.775,4,20.69677419,
Tb927.7.2110,KKT11 Kinetochore protein,Cell.cycle,1,756,2.1,89.48,89.48,17.59,8.58,11.35,0.665,3.5,17.06766917,
Tb927.8.1680,KKT12 Kinetochore protein,Cell.cycle,1,603,8.1,114.33,114.33,22.48,2.77,4.59,0.73,2.2,6.287671233,
Tb927.7.4860,KKT13 Kinetochore protein,Cell.cycle,1,1020,2.9,48.89,48.89,9.61,3.33,3.27,0.57,1.71,5.736842105,
Tb927.10.7240,KKT14 Kinetochore protein,Cell.cycle,1,2058,1.7,69.63,69.63,13.69,7.97,3.87,0.52,1.95,7.442307692,
Tb927.6.3760,KKT15 Kinetochore protein,Cell.cycle,1,1017,3.6,107.07,107.07,21.05,5.81,5.71,0.565,2.51,10.10619469,
Tb927.11.10000,KKT16 Kinetochore protein,Cell.cycle,1,660,2.5,11.80,11.8,2.32,0.93,1.42,0.485,0.51,2.927835052,
Tb927.3.2330,KKT17 Kinetochore protein,Cell.cycle,1,1857,2.7,69.66,69.66,13.7,5.17,2.78,0.63,1.48,4.412698413,
Tb927.9.3800,KKT18 Kinetochore protein,Cell.cycle,1,1797,2.4,70.88,70.88,13.94,5.78,3.22,0.62,1.69,5.193548387,
Tb927.11.10520,"KKT2 kinetochore protein, tyrosine kinase, putative",Cell.cycle,1,3783,1.2,144.65,144.65,28.44,23.12,6.11,0.72,2.61,8.486111111,
Tb927.9.10920,"KKT3 kinetochore protein, protein kinase, putative",Cell.cycle,1,3177,2.0,145.02,145.02,28.51,13.95,4.39,0.71,2.13,6.183098592,
Tb927.8.3680,KKT4 kinetochore protein,Cell.cycle,1,1938,0.9,62.70,62.7,12.33,14.36,7.41,0.61,2.89,12.14754098,
Tb927.7.4850,KKT5 Kinetochore protein,Cell.cycle,1,687,0.9,38.94,38.94,7.66,8.23,11.98,0.505,3.58,23.72277228,
Tb927.6.1210,KKT6 kinetochore protein,Cell.cycle,1,618,4.1,62.32,62.32,12.25,3.01,4.87,0.555,2.28,8.774774775,
Tb927.11.1030,KKT7 Kinetochore protein,Cell.cycle,1,1935,2.1,159.38,159.38,31.34,15.25,7.88,0.77,2.98,10.23376623,
Tb927.4.5110,KKT8 Kinetochore protein,Cell.cycle,1,1200,5.4,150.02,150.02,29.5,5.5,4.58,0.655,2.2,6.992366412,
Tb927.8.1150,KKT9 Kinetochore protein,Cell.cycle,1,1029,2.2,117.01,117.01,23.01,10.52,10.23,0.785,3.35,13.03184713,
Tb927.7.1590,"mitotic cyclin,cyclin CycB3 (CYC8)",Cell.cycle,1,1410,0.8,55.75,55.75,10.96,13.39,9.5,0.515,3.25,18.44660194,
Tb927.8.4810,prohibitin 1 (PHB1),Cell.cycle,1,834,20.3,367.73,367.73,72.3,3.56,4.27,0.765,2.09,5.581699346,
Tb927.10.4310,"prohibitin 2, putative (PHB2)",Cell.cycle,2,888,18.4,392.24,784.48,154.24,8.39,9.45,0.785,3.24,12.03821656,
Tb927.11.12310,"protein kinase, putative,cdc2-related kinase, putative (CRK12)",Cell.cycle,1,2310,1.3,102.09,102.09,20.07,15.45,6.69,0.695,2.74,9.625899281,
Tb927.11.6550,PUF nine target 1 (PNT1),Cell.cycle,1,1593,3.3,53.44,53.44,10.51,3.14,1.97,0.36,0.98,5.472222222,
Tb927.4.3420,Putative Wee1 kinase,Cell.cycle,1,1812,0.8,37.40,37.4,7.35,8.73,4.82,0.545,2.27,8.844036697,
Tb927.10.6240,"ras-like small GTPase, putative (TbRHP) spindle formation and mitosis",Cell.cycle,1,1212,4.2,33.68,33.68,6.62,1.57,1.29,0.48,0.37,2.6875,
Tb927.7.1190,"regulator of chromosome condensation, putative",Cell.cycle,1,3459,1.1,52.02,52.02,10.23,9.19,2.66,0.67,1.41,3.970149254,
Tb927.7.1210,"regulator of chromosome condensation, putative",Cell.cycle,1,2523,0.9,35.20,35.2,6.92,7.44,2.95,0.545,1.56,5.412844037,
Tb927.3.1750,"rev7, putative,mitotic spindle checkpoint component, putative",Cell.cycle,1,606,1.5,13.40,13.4,2.63,1.8,2.97,0.365,1.57,8.136986301,
Tb927.7.1320,"10 kDa heat shock protein, putative (HSP10)",Chaperone,2,303,150.9,592.55,1185.1,233,1.54,5.1,0.88,2.35,5.795454545,
Tb927.2.5980,"ATP-dependent Clp protease subunit, heat shock protein 104 (HSP104)",Chaperone,2,2613,1.6,106.24,212.48,41.78,26.54,10.16,0.565,3.34,17.98230088,
Tb927.2.3030,"ATP-dependent Clp protease subunit, heat shock protein 78 (HSP78)",Chaperone,2,2439,2.4,486.34,972.68,191.24,79.09,32.43,0.665,5.02,48.76691729,
Tb927.9.12730,"chaperone protein DNAj, endoplasmatic reticulum",Chaperone,1,1356,5.3,182.08,182.08,35.8,6.79,5.01,0.785,2.32,6.382165605,
Tb927.10.2290,"chaperone protein DNAj, endoplasmatic reticulum",Chaperone,2,1251,3.7,163.34,326.68,64.23,17.59,14.06,0.745,3.81,18.87248322,
Tb927.10.12530,"chaperone protein DNAj, putative",Chaperone,1,501,3.4,5.86,5.86,1.15,0.34,0.68,0.575,-0.56,1.182608696,
Tb927.10.12380,"chaperone protein DNAj, putative",Chaperone,1,1743,3.7,31.49,31.49,6.19,1.67,0.96,0.58,-0.06,1.655172414,
Tb927.4.3980,"chaperone protein DNAj, putative",Chaperone,1,1488,0.9,2.93,2.93,0.58,0.65,0.44,0.26,-1.18,1.692307692,
Tb927.6.3850,"chaperone protein DNAj, putative",Chaperone,1,870,1.2,1.27,1.27,0.25,0.2,0.23,0.135,-2.12,1.703703704,
Tb927.8.1030,"chaperone protein DNAj, putative",Chaperone,1,882,2.5,14.96,14.96,2.94,1.17,1.33,0.565,0.41,2.353982301,
Tb927.3.2290,"chaperone protein DNAj, putative",Chaperone,1,1122,3.2,28.12,28.12,5.53,1.72,1.53,0.57,0.61,2.684210526,
Tb927.3.1760,"chaperone protein DNAj, putative",Chaperone,1,783,7.2,44.70,44.7,8.79,1.21,1.55,0.545,0.63,2.844036697,
Tb927.9.14180,"chaperone protein DNAj, putative",Chaperone,1,969,4.6,36.85,36.85,7.25,1.58,1.63,0.565,0.7,2.884955752,
Tb927.5.2880,"chaperone protein DNAj, putative",Chaperone,1,567,2.9,12.13,12.13,2.38,0.82,1.44,0.455,0.53,3.164835165,
Tb927.8.7010,"chaperone protein DNAj, putative",Chaperone,1,609,6.5,37.43,37.43,7.36,1.13,1.85,0.58,0.89,3.189655172,
Tb927.1.1230,"chaperone protein DNAj, putative",Chaperone,1,1443,1.1,10.67,10.67,2.1,1.86,1.29,0.385,0.37,3.350649351,
Tb927.6.3730,"chaperone protein DNAj, putative",Chaperone,1,921,3.5,25.45,25.45,5,1.45,1.57,0.465,0.65,3.376344086,
Tb927.10.13830,"chaperone protein DNAj, putative",Chaperone,1,723,10.4,103.10,103.1,20.27,1.95,2.7,0.74,1.43,3.648648649,
Tb927.4.2970,"chaperone protein DNAj, putative",Chaperone,1,1008,1.9,16.96,16.96,3.33,1.72,1.71,0.46,0.77,3.717391304,
Tb927.7.6660,"chaperone protein DNAj, putative",Chaperone,1,774,7.4,75.97,75.97,14.94,2.02,2.61,0.69,1.38,3.782608696,
Tb927.10.6610,"chaperone protein DNAj, putative",Chaperone,1,825,4.7,50.10,50.1,9.85,2.07,2.51,0.645,1.33,3.891472868,
Tb927.3.1430,"chaperone protein DNAj, putative",Chaperone,2,1152,1.7,10.47,20.94,4.12,2.45,2.13,0.525,1.09,4.057142857,
Tb927.8.4470,"chaperone protein DNAj, putative",Chaperone,1,714,2.7,12.76,12.76,2.51,0.94,1.31,0.315,0.39,4.158730159,
Tb927.7.740,"chaperone protein DNAj, putative",Chaperone,1,1644,2.5,48.75,48.75,9.58,3.84,2.33,0.56,1.22,4.160714286,
Tb927.2.3960,"chaperone protein DNAj, putative",Chaperone,1,693,3.2,20.37,20.37,4,1.23,1.78,0.425,0.83,4.188235294,
Tb927.7.6200,"chaperone protein DNAj, putative",Chaperone,1,855,3.9,40.82,40.82,8.03,2.08,2.43,0.56,1.28,4.339285714,
Tb927.11.16980,"chaperone protein DNAj, putative",Chaperone,1,927,3.5,49.13,49.13,9.66,2.76,2.98,0.645,1.58,4.620155039,
Tb927.9.10950,"chaperone protein DNAj, putative",Chaperone,1,864,2.5,37.13,37.13,7.3,2.92,3.38,0.725,1.76,4.662068966,
Tb927.6.3120,"chaperone protein DNAj, putative",Chaperone,1,891,1.3,7.20,7.2,1.42,1.13,1.27,0.27,0.34,4.703703704,
Tb927.10.12640,"chaperone protein DNAj, putative",Chaperone,1,1893,1.2,32.47,32.47,6.38,5.21,2.75,0.57,1.46,4.824561404,
Tb927.9.8410,"chaperone protein DNAj, putative",Chaperone,1,1383,9.5,258.30,258.3,50.78,5.35,3.87,0.785,1.95,4.929936306,
Tb927.7.4590,"chaperone protein DNAj, putative",Chaperone,1,1530,1.0,14.57,14.57,2.86,2.9,1.89,0.38,0.92,4.973684211,
Tb927.7.680,"chaperone protein DNAj, putative",Chaperone,1,2325,2.6,93.24,93.24,18.33,7.15,3.07,0.605,1.62,5.074380165,
Tb927.8.8310,"chaperone protein DNAj, putative",Chaperone,1,1446,5.0,121.71,121.71,23.93,4.82,3.34,0.585,1.74,5.709401709,
Tb927.11.16740,"chaperone protein DNAj, putative",Chaperone,2,1155,4.3,46.04,92.08,18.1,4.19,3.63,0.615,1.86,5.902439024,
Tb927.8.1010,"chaperone protein DNAj, putative",Chaperone,1,1473,1.5,34.73,34.73,6.83,4.64,3.15,0.53,1.66,5.943396226,
Tb927.11.1010,"chaperone protein DNAj, putative",Chaperone,1,1116,3.1,55.52,55.52,10.92,3.54,3.18,0.53,1.67,6,
Tb927.10.5040,"chaperone protein DNAj, putative",Chaperone,1,873,3.9,62.57,62.57,12.3,3.18,3.64,0.585,1.86,6.222222222,
Tb927.11.5710,"chaperone protein DNAj, putative",Chaperone,1,1272,0.7,17.17,17.17,3.38,4.59,3.61,0.51,1.85,7.078431373,
Tb927.4.650,"chaperone protein DNAj, putative",Chaperone,1,738,3.5,49.51,49.51,9.73,2.75,3.73,0.51,1.9,7.31372549,
Tb927.10.8540,"chaperone protein DNAj, putative",Chaperone,1,1011,8.2,228.40,228.4,44.91,5.47,5.41,0.675,2.44,8.014814815,
Tb927.11.15130,"chaperone protein DNAj, putative",Chaperone,1,960,5.3,155.71,155.71,30.61,5.77,6.02,0.69,2.59,8.724637681,
Tb927.10.14730,"chaperone protein DNAj, putative",Chaperone,1,1332,3.9,125.28,125.28,24.63,6.33,4.75,0.51,2.25,9.31372549,
Tb927.10.9840,"chaperone protein DNAj, putative",Chaperone,1,789,3.5,96.02,96.02,18.88,5.4,6.85,0.695,2.78,9.856115108,
Tb927.1.4300,"chaperone protein DNAj, putative",Chaperone,1,1476,0.6,35.98,35.98,7.07,11.32,7.67,0.755,2.94,10.1589404,
Tb927.11.5220,"chaperone protein DNAj, putative",Chaperone,1,2301,2.3,182.88,182.88,35.96,15.57,6.77,0.625,2.76,10.832,
Tb927.1.1960,"chaperone protein DNAj, putative",Chaperone,1,1977,1.8,154.00,154,30.28,16.45,8.32,0.76,3.06,10.94736842,
Tb927.9.8160,"chaperone protein DNAj, putative",Chaperone,1,1293,4.8,265.26,265.26,52.15,10.75,8.32,0.655,3.06,12.70229008,
Tb927.7.540,"chaperone protein DNAj, putative",Chaperone,1,1374,2.1,121.63,121.63,23.91,11.58,8.43,0.555,3.08,15.18918919,
