Gene ID	Genomic Location (Gene)	Product Description	Gene Type	Input ID	
Tb927.1.1700	Tb927_01_v5.1:428,804..430,357(+)	AATF protein, putative	protein coding	Tb927.1.1700	
Tb927.1.1710	Tb927_01_v5.1:430,810..436,805(+)	transmembrane protein, conserved	protein coding	Tb927.1.1710	
Tb927.1.1720	Tb927_01_v5.1:436,931..438,166(+)	cyclophilin 15, putative	protein coding	Tb927.1.1720	
Tb927.1.1730	Tb927_01_v5.1:438,559..440,944(+)	Polyadenylation mediator complex protein PAMC1, putative	protein coding	Tb927.1.1730	
Tb927.1.1750	Tb927_01_v5.1:463,430..464,902(+)	conserved protein, unknown function	protein coding	Tb927.1.1750	
Tb927.1.1760	Tb927_01_v5.1:465,361..465,801(+)	hypothetical transmembrane protein	protein coding	Tb927.1.1760	
Tb927.1.1770	Tb927_01_v5.1:466,901..467,937(+)	Dithiol glutaredoxin 2	protein coding	Tb927.1.1770	
Tb927.1.1790	Tb927_01_v5.1:468,057..469,268(+)	hypothetical PIN domain-containing protein, conserved	protein coding	Tb927.1.1790	
Tb927.1.1820	Tb927_01_v5.1:470,120..471,459(+)	hypothetical PIN domain-containing protein	protein coding	Tb927.1.1820	
Tb927.1.1840	Tb927_01_v5.1:473,180..477,856(+)	conserved protein, unknown function	protein coding	Tb927.1.1840	
Tb927.1.1850	Tb927_01_v5.1:479,530..482,045(+)	hypothetical protein, conserved	protein coding	Tb927.1.1850	
Tb927.1.1880	Tb927_01_v5.1:483,817..488,521(+)	WD40 repeat-containing protein	protein coding	Tb927.1.1880	
Tb927.1.1890	Tb927_01_v5.1:488,949..493,047(+)	Replication Factor C Subunit 1-related protein	protein coding	Tb927.1.1890	
Tb927.1.1910	Tb927_01_v5.1:493,470..497,857(+)	MORN repeat-containing protein	protein coding	Tb927.1.1910	
Tb927.1.1920	Tb927_01_v5.1:498,098..500,775(+)	conserved protein, unknown function	protein coding	Tb927.1.1920	
Tb927.1.1930	Tb927_01_v5.1:500,880..513,605(+)	phosphatidylinositol 3-kinase, putative	protein coding	Tb927.1.1930	
Tb927.1.1960	Tb927_01_v5.1:513,878..516,276(+)	chaperone protein DnaJ, putative	protein coding	Tb927.1.1960	
Tb927.1.1980	Tb927_01_v5.1:516,410..517,613(+)	protein transport protein YIF1, putative	protein coding	Tb927.1.1980	
Tb927.1.1990	Tb927_01_v5.1:517,767..518,431(+)	Pre-mRNA-splicing factor 38, putative	protein coding	Tb927.1.1990	
Tb927.1.2110	Tb927_01_v5.1:535,994..538,833(+)	Calpain-like protein 1.2	protein coding	Tb927.1.2110	
Tb927.1.2120	Tb927_01_v5.1:540,417..545,837(+)	Calpain-like protein CALP1.3	protein coding	Tb927.1.2120	
Tb927.1.2150	Tb927_01_v5.1:546,122..548,454(+)	Small kinetoplastid calpain-related protein 1-4	protein coding	Tb927.1.2150	
Tb927.1.2160	Tb927_01_v5.1:548,660..550,440(+)	Small kinetoplastid calpain-related protein 1-5	protein coding	Tb927.1.2160	
Tb927.1.2190	Tb927_01_v5.1:551,782..559,549(+)	Raptor N-terminal CASPase like domain containing protein, putative	protein coding	Tb927.1.2190	
Tb927.1.2200	Tb927_01_v5.1:559,477..560,052(+)	zinc finger protein family member, putative	protein coding	Tb927.1.2200	
Tb927.1.2210	Tb927_01_v5.1:559,984..562,221(+)	nucleosome assembly protein (NAP), putative	protein coding	Tb927.1.2210	
Tb927.1.2310	Tb927_01_v5.1:567,371..568,169(+)	hypothetical protein	protein coding	Tb927.1.2310	
Tb927.1.2320	Tb927_01_v5.1:568,526..569,507(+)	hypothetical protein, conserved	protein coding	Tb927.1.2320	
Tb927.1.2330	Tb927_01_v5.1:570,423..572,177(+)	beta tubulin	protein coding	Tb927.1.2330	
Tb927.1.2340	Tb927_01_v5.1:572,336..573,881(+)	alpha tubulin	protein coding	Tb927.1.2340	
Tb927.1.2420	Tb927_01_v5.1:591,041..592,285(+)	hypothetical protein	protein coding	Tb927.1.2420	
Tb927.1.2430	Tb927_01_v5.1:592,441..593,869(+)	histone H3, putative	protein coding	Tb927.1.2430	
Tb927.1.2570	Tb927_01_v5.1:603,459..606,430(+)	coatomer beta subunit	protein coding	Tb927.1.2570	
Tb927.1.2580	Tb927_01_v5.1:607,396..608,595(+)	exosome-associated protein 1	protein coding	Tb927.1.2580	
Tb927.1.2600	Tb927_01_v5.1:609,479..614,307(+)	pumilio/PUF RNA binding protein 9	protein coding	Tb927.1.2600	
Tb927.1.2640	Tb927_01_v5.1:616,213..617,552(+)	hypothetical protein, conserved	protein coding	Tb927.1.2640	
Tb927.1.2670	Tb927_01_v5.1:618,377..621,469(+)	paralyzed flagella 16	protein coding	Tb927.1.2670	
Tb927.1.2700	Tb927_01_v5.1:622,175..623,776(+)	hypothetical protein, conserved	protein coding	Tb927.1.2700	
Tb927.1.2710	Tb927_01_v5.1:624,161..628,405(+)	hypothetical protein, conserved	protein coding	Tb927.1.2710	
Tb927.1.2730	Tb927_01_v5.1:628,532..629,938(+)	conserved protein, unknown function	protein coding	Tb927.1.2730	
Tb927.1.2740	Tb927_01_v5.1:631,055..633,005(+)	lipase-like protein, putative	protein coding	Tb927.1.2740	
Tb927.1.2750	Tb927_01_v5.1:633,194..633,871(+)	hypothetical protein, conserved	protein coding	Tb927.1.2750	
Tb927.1.2760	Tb927_01_v5.1:634,072..634,634(+)	hypothetical protein	protein coding	Tb927.1.2760	
Tb927.1.2770	Tb927_01_v5.1:634,794..636,278(+)	hypothetical protein, conserved	protein coding	Tb927.1.2770	
Tb927.1.2820	Tb927_01_v5.1:640,697..643,263(-)	pteridine transporter, putative	protein coding	Tb927.1.2820	
Tb927.1.2970	Tb927_01_v5.1:656,565..657,473(+)	hypothetical protein, conserved	protein coding	Tb927.1.2970	
Tb927.1.2980	Tb927_01_v5.1:658,928..662,823(+)	hypothetical protein, conserved	protein coding	Tb927.1.2980	
Tb927.1.2985	Tb927_01_v5.1:662,952..663,556(+)	ER protein Pkr1, putative	protein coding	Tb927.1.2985	
Tb927.1.2990	Tb927_01_v5.1:663,652..666,826(+)	kinetoplast ribosomal PPR-repeat containing protein 2	protein coding	Tb927.1.2990	
Tb927.1.3000	Tb927_01_v5.1:666,978..668,620(+)	amidohydrolase, putative	protein coding	Tb927.1.3000	
Tb927.1.3010	Tb927_01_v5.1:668,729..670,101(+)	mRNA processing protein, putative	protein coding	Tb927.1.3010	
Tb927.1.3030	Tb927_01_v5.1:670,234..671,532(+)	KREL2	protein coding	Tb927.1.3030	
Tb927.1.3040	Tb927_01_v5.1:671,777..672,908(+)	hypothetical protein, conserved	protein coding	Tb927.1.3040	
Tb927.1.3050	Tb927_01_v5.1:672,923..674,982(+)	tRNA (Uracil-5-)-methyltransferase, putative	protein coding	Tb927.1.3050	
Tb927.1.3070	Tb927_01_v5.1:675,110..676,653(+)	hypothetical protein, conserved	protein coding	Tb927.1.3070	
Tb927.1.3110	Tb927_01_v5.1:677,616..679,013(+)	soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative	protein coding	Tb927.1.3110	
Tb927.1.3120	Tb927_01_v5.1:679,144..682,632(+)	Peptidase C50 separase, putative	protein coding	Tb927.1.3120	
Tb927.1.3130	Tb927_01_v5.1:683,008..684,631(+)	AGC/RSK family serine/threonine kinase, putative	protein coding	Tb927.1.3130	
Tb927.1.3150	Tb927_01_v5.1:685,426..686,960(+)	hypothetical protein, conserved	protein coding	Tb927.1.3150	
Tb927.1.3170	Tb927_01_v5.1:687,208..688,587(+)	CHORD, putative	protein coding	Tb927.1.3170	
Tb927.1.3200	Tb927_01_v5.1:689,981..691,247(+)	Suppressor of G2 allele of SKP1, putative	protein coding	Tb927.1.3200	
Tb927.1.3220	Tb927_01_v5.1:691,637..693,398(+)	TBC1 domain family member 20/GTPase, putative	protein coding	Tb927.1.3220	
Tb927.1.3230	Tb927_01_v5.1:694,140..696,465(+)	cell division cycle protein, putative	protein coding	Tb927.1.3230	
Tb927.1.3250	Tb927_01_v5.1:696,806..702,812(+)	Domain of unknown function (DUF4456), putative	protein coding	Tb927.1.3250	
Tb927.1.3260	Tb927_01_v5.1:702,966..708,786(+)	hypothetical protein, conserved	protein coding	Tb927.1.3260	
Tb927.1.3270	Tb927_01_v5.1:709,471..712,308(+)	hypothetical protein, conserved	protein coding	Tb927.1.3270	
Tb927.1.3280	Tb927_01_v5.1:712,890..713,989(+)	septum formation protein MAF homologue, putative	protein coding	Tb927.1.3280	
Tb927.1.3290	Tb927_01_v5.1:714,094..717,220(+)	hypothetical protein, conserved	protein coding	Tb927.1.3290	
Tb927.1.3300	Tb927_01_v5.1:717,851..722,139(+)	Myotubularin-related protein, putative	protein coding	Tb927.1.3300	
Tb927.1.3310	Tb927_01_v5.1:721,777..723,140(+)	hypothetical protein, conserved	protein coding	Tb927.1.3310	
Tb927.1.3320	Tb927_01_v5.1:723,733..725,505(+)	leucine-rich repeat protein (LRRP), putative	protein coding	Tb927.1.3320	
Tb927.1.3390	Tb927_01_v5.1:731,489..732,378(-)	Eukaryotic protein of unknown function (DUF866), putative	protein coding	Tb927.1.3390	
Tb927.1.3400	Tb927_01_v5.1:732,215..733,840(-)	hypothetical protein, conserved	protein coding	Tb927.1.3400	
Tb927.1.3410	Tb927_01_v5.1:734,213..736,337(-)	hypothetical protein, conserved	protein coding	Tb927.1.3410	
Tb927.1.3450	Tb927_01_v5.1:736,446..740,175(-)	hypothetical protein, conserved	protein coding	Tb927.1.3450	
Tb927.1.3550	Tb927_01_v5.1:751,140..757,935(-)	hypothetical protein	protein coding	Tb927.1.3550	
Tb927.1.3560	Tb927_01_v5.1:758,163..762,086(-)	Centrosomal protein of 164 kDa, putative	protein coding	Tb927.1.3560	
Tb927.1.3670	Tb927_01_v5.1:769,751..779,012(+)	expression site-associated gene 8 (ESAG8) protein, putative	protein coding	Tb927.1.3670	
Tb927.1.3800	Tb927_01_v5.1:814,232..814,850(+)	Present in the outer mitochondrial membrane proteome 18	protein coding	Tb927.1.3800	
Tb927.1.3810	Tb927_01_v5.1:815,097..815,608(+)	hypothetical protein, conserved	protein coding	Tb927.1.3810	
Tb927.1.3820	Tb927_01_v5.1:815,718..816,149(+)	ATP synthase subunit, putative	protein coding	Tb927.1.3820	
Tb927.1.3830	Tb927_01_v5.1:816,304..818,578(+)	glucose-6-phosphate isomerase, glycosomal	protein coding	Tb927.1.3830	
Tb927.1.3840	Tb927_01_v5.1:818,726..820,827(+)	hypothetical protein, conserved	protein coding	Tb927.1.3840	
Tb927.1.3850	Tb927_01_v5.1:820,968..822,057(+)	Sec61beta family, putative	protein coding	Tb927.1.3850	
Tb927.1.3860	Tb927_01_v5.1:822,194..826,118(+)	hypothetical protein, conserved	protein coding	Tb927.1.3860	
Tb927.1.3880	Tb927_01_v5.1:826,497..832,221(+)	Fusaric acid resistance protein-like, putative	protein coding	Tb927.1.3880	
Tb927.1.3890	Tb927_01_v5.1:832,456..833,388(+)	hypothetical protein	protein coding	Tb927.1.3890	
Tb927.1.3910	Tb927_01_v5.1:833,572..836,861(+)	Anaphase-promoting complex subunit CDC23	protein coding	Tb927.1.3910	
Tb927.1.3940	Tb927_01_v5.1:837,318..840,600(+)	hypothetical protein, conserved	protein coding	Tb927.1.3940	
Tb927.1.3950	Tb927_01_v5.1:840,718..844,478(+)	alanine aminotransferase	protein coding	Tb927.1.3950	
Tb927.1.4010	Tb927_01_v5.1:844,375..848,709(+)	primase 2	protein coding	Tb927.1.4010	
Tb927.1.4020	Tb927_01_v5.1:848,810..852,598(+)	hypothetical protein	protein coding	Tb927.1.4020	
Tb927.1.4040	Tb927_01_v5.1:852,635..854,428(+)	hypothetical protein, conserved	protein coding	Tb927.1.4040	
Tb927.1.4050	Tb927_01_v5.1:856,392..861,646(+)	ser/thr protein phosphatase, putative	protein coding	Tb927.1.4050	
Tb927.1.4100	Tb927_01_v5.1:861,574..864,625(+)	cytochrome oxidase subunit IV	protein coding	Tb927.1.4100	
Tb927.1.4140	Tb927_01_v5.1:864,788..866,440(+)	Bardet-Biedl syndrome 5 protein	protein coding	Tb927.1.4140	
Tb927.1.4160	Tb927_01_v5.1:866,634..867,647(+)	hypothetical protein, conserved	protein coding	Tb927.1.4160	
Tb927.1.4180	Tb927_01_v5.1:867,783..870,352(+)	leucine-rich repeat protein (LRRP), putative	protein coding	Tb927.1.4180	
Tb927.1.4220	Tb927_01_v5.1:871,671..873,776(+)	Ydr279p protein family (RNase H2 complex component), putative	protein coding	Tb927.1.4220	
Tb927.1.4230	Tb927_01_v5.1:873,922..876,311(+)	hypothetical protein, conserved	protein coding	Tb927.1.4230	
Tb927.1.4250	Tb927_01_v5.1:876,432..879,282(+)	hypothetical protein, conserved	protein coding	Tb927.1.4250	
Tb927.1.4280	Tb927_01_v5.1:880,176..883,182(+)	hypothetical protein, conserved	protein coding	Tb927.1.4280	
Tb927.1.4300	Tb927_01_v5.1:885,965..890,522(+)	chaperone protein DnaJ, putative	protein coding	Tb927.1.4300	
Tb927.1.4310	Tb927_01_v5.1:890,091..897,567(+)	Flagellum attachment zone protein 2	protein coding	Tb927.1.4310	
Tb927.1.4340	Tb927_01_v5.1:899,108..903,089(+)	hypothetical protein, conserved	protein coding	Tb927.1.4340	
Tb927.1.4370	Tb927_01_v5.1:902,820..905,658(+)	Putative integral membrane protein conserved region (DUF2404), putative	protein coding	Tb927.1.4370	
Tb927.1.4380	Tb927_01_v5.1:905,832..907,962(+)	Putative integral membrane protein conserved region (DUF2404), putative	protein coding	Tb927.1.4380	
Tb927.1.4400	Tb927_01_v5.1:907,880..908,989(+)	hypothetical protein, conserved	protein coding	Tb927.1.4400	
Tb927.1.4410	Tb927_01_v5.1:909,409..911,906(+)	SUMO-interacting motif-containing protein	protein coding	Tb927.1.4410	
Tb927.1.4420	Tb927_01_v5.1:912,167..916,224(+)	ABC transporter, putative	protein coding	Tb927.1.4420	
Tb927.1.4450	Tb927_01_v5.1:916,395..920,056(+)	calcium-activated potassium channel, putative	protein coding	Tb927.1.4450	
Tb927.1.4470	Tb927_01_v5.1:921,239..923,025(+)	hypothetical protein, conserved	protein coding	Tb927.1.4470	
Tb927.1.4480	Tb927_01_v5.1:923,248..927,993(+)	WD repeat and HMG-box DNA-binding protein, putative	protein coding	Tb927.1.4480	
Tb927.1.4490	Tb927_01_v5.1:928,833..931,833(+)	acetyltransferase, putative	protein coding	Tb927.1.4490	
Tb927.1.4500	Tb927_01_v5.1:932,224..934,231(+)	SNARE associated Golgi protein, putative	protein coding	Tb927.1.4500	
Tb927.1.4520	Tb927_01_v5.1:934,408..939,104(+)	Zinc finger, C3HC4 type (RING finger), putative	protein coding	Tb927.1.4520	
Tb927.1.4680	Tb927_01_v5.1:962,455..963,745(+)	Kinetochore interacting protein 6	protein coding	Tb927.1.4680	
Tb927.1.4690	Tb927_01_v5.1:964,015..965,836(+)	Protein arginine N-methyltransferase 1 catalytic subunit	protein coding	Tb927.1.4690	
Tb927.1.4700	Tb927_01_v5.1:965,981..967,683(+)	hypothetical protein, conserved	protein coding	Tb927.1.4700	
Tb927.1.4710	Tb927_01_v5.1:967,638..968,324(+)	hypothetical protein, conserved	protein coding	Tb927.1.4710	
Tb927.1.4720	Tb927_01_v5.1:968,713..970,679(+)	SET domain containing protein, putative	protein coding	Tb927.1.4720	
Tb927.1.4730	Tb927_01_v5.1:971,007..971,775(+)	Ribonuclease H2 non-catalytic subunit (Ylr154p-like), putative	protein coding	Tb927.1.4730	
Tb927.1.4740	Tb927_01_v5.1:971,898..975,136(+)	FAM91 N-terminus/FAM91 C-terminus, putative	protein coding	Tb927.1.4740	
Tb927.1.4760	Tb927_01_v5.1:975,777..979,264(+)	Vacuolar sorting protein 39 domain 1/Vacuolar sorting protein 39 domain 2, putative	protein coding	Tb927.1.4760	
Tb927.1.4780	Tb927_01_v5.1:979,505..981,555(+)	Alpha/beta hydrolase domain-containing protein	protein coding	Tb927.1.4780	
Tb927.1.4800	Tb927_01_v5.1:982,326..983,948(+)	hypothetical protein, conserved	protein coding	Tb927.1.4800	
Tb927.1.4830	Tb927_01_v5.1:986,557..988,178(+)	phospholipase A1	protein coding	Tb927.1.4830	
Tb927.1.4970	Tb927_01_v5.1:1,001,645..1,004,159(+)	hypothetical protein	protein coding	Tb927.1.4970	
Tb927.1.5000	Tb927_01_v5.1:1,004,272..1,005,744(+)	hypothetical protein, conserved	protein coding	Tb927.1.5000	
Tb927.1.5030	Tb927_01_v5.1:1,007,761..1,010,594(+)	leucine-rich repeat protein (LRRP), putative	protein coding	Tb927.1.5030	
Tb927.1.5080	Tb927_01_v5.1:1,015,353..1,016,174(+)	expression site-associated gene 9 (ESAG9) protein, putative	protein coding	Tb927.1.5080	
Tb927.1.560	Tb927_01_v5.1:208,607..210,085(-)	WD domain, G-beta repeat, putative	protein coding	Tb927.1.560	
Tb927.1.570	Tb927_01_v5.1:210,203..211,427(-)	Histone-lysine N-methyltransferase, H3 lysine-76 specific	protein coding	Tb927.1.570	
Tb927.1.580	Tb927_01_v5.1:211,572..214,108(-)	phosphate-repressible phosphate permease, putative	protein coding	Tb927.1.580	
Tb927.1.610	Tb927_01_v5.1:218,081..219,052(-)	hypothetical protein, conserved	protein coding	Tb927.1.610	
Tb927.1.630	Tb927_01_v5.1:219,177..220,397(-)	histone chaperone ASF1A	protein coding	Tb927.1.630	
Tb927.1.650	Tb927_01_v5.1:226,021..226,665(-)	conserved protein, unknown function	protein coding	Tb927.1.650	
Tb927.1.670	Tb927_01_v5.1:228,043..230,110(-)	conserved protein, unknown function	protein coding	Tb927.1.670	
Tb927.1.690	Tb927_01_v5.1:230,314..231,528(-)	hypothetical protein, conserved	protein coding	Tb927.1.690	
Tb927.1.710	Tb927_01_v5.1:234,043..235,553(-)	phosphoglycerate kinase	protein coding	Tb927.1.710	
Tb927.1.730	Tb927_01_v5.1:237,632..239,558(-)	NADH-ubiquinone oxidoreductase complex I subunit, putative	protein coding	Tb927.1.730	
Tb927.1.740	Tb927_01_v5.1:240,378..241,710(-)	phosphatidylinositol-4-phosphate 5-kinase related	protein coding	Tb927.1.740	
Tb927.1.760	Tb927_01_v5.1:246,097..249,006(-)	wd40 repeat domain-containing protein	protein coding	Tb927.1.760	
Tb927.1.780	Tb927_01_v5.1:249,194..250,618(-)	leucine-rich repeat-containing protein	protein coding	Tb927.1.780	
Tb927.1.790	Tb927_01_v5.1:250,982..253,518(-)	hypothetical transmembrane protein, conserved	protein coding	Tb927.1.790	
Tb927.1.820	Tb927_01_v5.1:254,295..256,475(-)	kelch domain-containing protein	protein coding	Tb927.1.820	
Tb927.1.830	Tb927_01_v5.1:256,601..259,712(-)	hypothetical protein, conserved	protein coding	Tb927.1.830	
Tb927.1.840	Tb927_01_v5.1:259,833..260,630(-)	transmembrane protein, putative	protein coding	Tb927.1.840	
Tb927.1.860	Tb927_01_v5.1:260,762..262,198(-)	transmembrane protein, putative	protein coding	Tb927.1.860	
Tb927.1.870	Tb927_01_v5.1:262,187..263,802(-)	deoxyhypusine synthase	protein coding	Tb927.1.870	
Tb927.1.880	Tb927_01_v5.1:264,384..278,165(-)	Midasin, putative	protein coding	Tb927.1.880	
Tb927.1.890	Tb927_01_v5.1:278,300..279,226(-)	hypothetical protein, conserved	protein coding	Tb927.1.890	
Tb927.1.990	Tb927_01_v5.1:288,568..289,706(+)	Enkuring domain-containig protein	protein coding	Tb927.1.990	
Tb927.10.1000	Tb927_10_v5.1:273,058..273,858(+)	hypothetical protein	protein coding	Tb927.10.1000	
Tb927.10.10000	Tb927_10_v5.1:2,466,189..2,468,569(+)	hypothetical protein, conserved	protein coding	Tb927.10.10000	
Tb927.10.10010	Tb927_10_v5.1:2,468,670..2,469,421(+)	mRNA turnover protein 4 homolog, putative	protein coding	Tb927.10.10010	
Tb927.10.10020	Tb927_10_v5.1:2,469,725..2,472,329(+)	Rab5 GDP/GTP exchange factor (Rabex-5), putative	protein coding	Tb927.10.10020	
Tb927.10.10030	Tb927_10_v5.1:2,472,479..2,472,886(+)	hypothetical protein, conserved	protein coding	Tb927.10.10030	
Tb927.10.10050	Tb927_10_v5.1:2,474,041..2,479,372(+)	hypothetical protein, conserved	protein coding	Tb927.10.10050	
Tb927.10.10070	Tb927_10_v5.1:2,481,212..2,483,861(+)	hypothetical protein, conserved	protein coding	Tb927.10.10070	
Tb927.10.10080	Tb927_10_v5.1:2,484,217..2,484,672(+)	hypothetical protein, conserved	protein coding	Tb927.10.10080	
Tb927.10.10090	Tb927_10_v5.1:2,485,280..2,488,960(+)	Component of motile flagella 14	protein coding	Tb927.10.10090	
Tb927.10.10100	Tb927_10_v5.1:2,489,064..2,492,083(+)	hypothetical protein, conserved	protein coding	Tb927.10.10100	
Tb927.10.10110	Tb927_10_v5.1:2,492,228..2,492,796(+)	PIG-P, putative	protein coding	Tb927.10.10110	
Tb927.10.10120	Tb927_10_v5.1:2,492,915..2,494,815(+)	hypothetical protein, conserved	protein coding	Tb927.10.10120	
Tb927.10.10130	Tb927_10_v5.1:2,494,981..2,496,793(+)	RNA editing mediator complex protein 1	protein coding	Tb927.10.10130	
Tb927.10.10140	Tb927_10_v5.1:2,496,968..2,498,264(+)	paraflagellar rod component, putative	protein coding	Tb927.10.10140	
Tb927.10.10150	Tb927_10_v5.1:2,498,411..2,500,811(+)	hypothetical protein, conserved	protein coding	Tb927.10.10150	
Tb927.10.10170	Tb927_10_v5.1:2,502,312..2,503,704(+)	pre-mRNA splicing factor 46, putative	protein coding	Tb927.10.10170	
Tb927.10.10180	Tb927_10_v5.1:2,503,893..2,504,976(+)	Miro-like protein, putative	protein coding	Tb927.10.10180	
